Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,tsinfer_completed,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,fastARG_memory,fastARG_cputime,fastARG_edges,fastARG_ts_filesize
29,0,10000,5000,10000000,1e-08,1e-08,0,87748,18033,19191,2144194118,True,True,344801280.0,1897.0,5.386189466818849,3582316.0,1080.46,305.3868922628142,66067.0,4065923072.0,12062.69,110404.0,5378492.0
30,0,10531,5000,5000000,1e-08,1e-08,0,55852,9227,9882,1072651494,True,True,202113024.0,914.0,5.723236453921426,2240996.0,425.90999999999997,140.15956376225807,39187.0,3642036224.0,7914.79,67859.0,3386748.0
31,0,11583,5000,5000000,1e-08,1e-08,0,59176,9541,10185,315608276,True,False,,,,,,,,5585580032.0,10752.859999999999,70874.0,3551780.0
32,0,12635,5000,5000000,1e-08,1e-08,0,59979,9185,9579,592297390,True,True,226951168.0,971.0,5.9619533527696795,2368132.0,452.91,162.2473862718765,40899.0,3511074816.0,9852.36,70459.0,3547964.0
33,0,13687,5000,5000000,1e-08,1e-08,0,65113,9984,10444,80338721,False,True,260317184.0,1099.0,5.971631205673759,2578764.0,572.1999999999999,185.2492955728092,44626.0,,,,
34,0,14739,5000,5000000,1e-08,1e-08,0,65176,9429,9844,1552623695,False,True,263987200.0,941.0,6.1774550484094055,2592220.0,560.35,151.96256226457683,44663.0,,,,
35,0,15791,5000,5000000,1e-08,1e-08,0,66837,9365,10151,885691451,True,False,,,,,,,,8056885248.0,21078.030000000002,79047.0,4011372.0
36,0,16843,5000,5000000,1e-08,1e-08,0,69559,9518,10270,11059627,True,True,292925440.0,1002.0,6.350294590251741,2787468.0,683.52,169.14188930796755,47424.0,11184852992.0,21235.96,82982.0,4204524.0
37,0,17895,5000,5000000,1e-08,1e-08,0,73231,9913,10624,795109076,False,False,,,,,,,,,,,
38,0,18947,5000,5000000,1e-08,1e-08,0,73349,9341,9863,727215104,True,False,,,,,,,,12678955008.0,29512.52,87257.0,4426668.0
39,0,20000,5000,5000000,1e-08,1e-08,0,77121,9825,10667,1000499192,True,True,335654912.0,968.0,6.575984752223634,3077812.0,823.9,163.81678031997077,51753.0,13664288768.0,31519.6,89900.0,4597308.0
40,1,10,5000,5000000,1e-08,1e-08,0,6763,2169,2718,52524892,True,False,,,,,,,,2228224.0,0.12,1936.0,188956.0
41,1,1062,5000,5000000,1e-08,1e-08,0,26912,6741,7336,861773976,False,True,98521088.0,867.0,5.142038375280339,1098716.0,41.75,195.13457217196367,20635.0,,,,
42,1,2114,5000,5000000,1e-08,1e-08,0,32199,7516,8022,1735991922,True,True,119545856.0,912.0,5.15735825015927,1301764.0,84.19,185.4632400799813,24286.0,242065408.0,250.14999999999998,37481.0,1846668.0
43,1,3166,5000,5000000,1e-08,1e-08,0,35065,7701,8359,15991385,True,False,,,,,,,,485445632.0,421.52,41843.0,2063772.0
44,1,4218,5000,5000000,1e-08,1e-08,0,39541,8279,9003,1449365322,False,True,139427840.0,997.0,5.1580155367231635,1605820.0,154.85999999999999,184.86750990371343,29215.0,,,,
45,1,5270,5000,5000000,1e-08,1e-08,0,43666,8843,9698,2004056872,True,False,,,,,,,,1095942144.0,1623.18,52622.0,2607100.0
46,1,6322,5000,5000000,1e-08,1e-08,0,45451,8742,9122,60492517,True,True,154812416.0,935.0,5.438172487998676,1820172.0,250.31,157.87537782225914,32852.0,1666023424.0,2362.29,54135.0,2679484.0
47,1,7374,5000,5000000,1e-08,1e-08,0,47713,8788,9487,1550636973,False,True,167534592.0,982.0,5.450639709366609,1936788.0,289.44,165.9070170445707,34508.0,,,,
48,1,8426,5000,5000000,1e-08,1e-08,0,50091,8824,9445,1437841010,False,True,180060160.0,888.0,5.557510999371464,2005500.0,331.95,140.41105452140633,35368.0,,,,
