Unnamed: 0,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,seed,ARGweaver_completed,fastARG_completed,RentPlus_completed,tsinfer_completed,fastARG_pathunrooted,fastARG_SPRunrooted,fastARG_wRFrooted,fastARG_TSfilesize,fastARG_wRFunrooted,fastARG_RFunrooted,fastARG_edgesets,fastARG_cputime,fastARG_RFrooted,fastARG_edges,fastARG_memory,fastARG_KCrooted,RentPlus_pathunrooted,RentPlus_cputime,RentPlus_SPRunrooted,RentPlus_wRFrooted,RentPlus_RFrooted,RentPlus_wRFunrooted,RentPlus_RFunrooted,RentPlus_memory,RentPlus_KCrooted,tsinfer_pathunrooted,tsinfer_mean_polytomy,tsinfer_max_polytomy,tsinfer_wRFrooted,tsinfer_TSfilesize,tsinfer_wRFunrooted,tsinfer_var_polytomy,tsinfer_RFunrooted,tsinfer_edgesets,tsinfer_cputime,tsinfer_RFrooted,tsinfer_SPRunrooted,tsinfer_edges,tsinfer_memory,tsinfer_KCrooted,ARGweaver_pathunrooted,ARGweaver_wRFunrooted,ARGweaver_wRFrooted,ARGweaver_TSfilesize,ARGweaver_SPRunrooted,ARGweaver_RFunrooted,ARGweaver_iterations,ARGweaver_cputime,ARGweaver_RFrooted,ARGweaver_edgesets,ARGweaver_edges,ARGweaver_memory,ARGweaver_KCrooted
10,50,5000,10000,2.5e-08,5.9716075583e-08,0.01,1749090056,True,True,True,True,181.82581748256885,18.4976764695075,19032.8310341331,54096.0,19032.172222977562,69.76744972088801,76.0,0.0,71.519826676387,152.0,2043904.0,99.4536316152702,124.11609652907991,5.04,17.71475,,68.4162,,67.273,169590784.0,79.72389147790085,202.1256556616929,4.066666666666666,23.0,18841.534217941808,54096.0,18841.141268954743,26.13333333333333,40.934636488887,30.0,2.68,41.837643273636,,122.0,117403648.0,40.918314663926495,113.45159018345423,81507.93484860707,81749.33245819727,36816.0,16.78443,67.2772,"100,180,140,160,0,40,60,20,120,80",776.92,68.24208,100.0,200.0,78237696.0,52.45589179131715
11,50,5000,10000,2.5e-08,5.9716075583e-08,0.1,1749090056,True,True,True,True,164.83644681180598,20.43288811781613,19179.786393851307,58296.0,19179.785188256617,86.05488469354,262.0,0.0,88.005526506485,524.0,2117632.0,79.8640102749603,168.11297716817148,4.76,19.3738,,83.64,,82.0808,163954688.0,107.10976100900979,163.7346419308982,3.0192307692307687,17.0,18874.119083603204,54096.0,18874.040030652952,7.94079939668175,54.149902628816996,52.0,2.66,55.618032430431,,157.0,116838400.0,43.457123879884364,135.51958189256277,107214.55644464296,107421.53007852618,40508.88888888888,19.85911,84.16314,"180,20,160,120,140,0,60,80,40,100",980.18,85.9209,233.44444444444446,466.88888888888886,58089472.0,68.49358232001292
12,10,5000,10000,2.5e-08,2.37733978869e-07,0.0,1144839924,True,True,True,True,2.5712238171581627,0.490121395423,10292.453367008397,52087.0,10290.549003482105,1.1786313031559998,21.0,0.0,3.891619815466,42.0,2117632.0,7.604468035877745,2.5948817268937985,1.75,0.57775,,2.6889,,1.1555,68870144.0,4.879103351126022,2.7835432901016075,2.0588235294117645,3.0,10230.357252624875,54096.0,10228.920693608592,0.0570409982174686,1.085789431472,34.0,2.76,1.7513766975099998,0.506871457779818,70.0,117428224.0,2.8213056753069248,2.141684740464941,34090.15072989169,34610.60287045922,34768.0,0.40188,1.04556,"120,0,20,80,160,140,60,40,180,100",256.02,1.9065599999999998,34.4,68.8,23449600.0,3.2581180425294867
13,10,5000,10000,2.5e-08,2.37733978869e-07,0.01,1144839924,True,True,True,True,3.8553486046532015,0.8745291418534998,10289.513418604252,54096.0,10286.867161630833,1.7951090271880001,25.0,0.0,3.90564369367,50.0,2056192.0,6.487042059353545,2.4850891197736256,1.9,0.5632,,2.2518,,1.1997,80887808.0,4.161986389938586,2.4746288149853806,2.0370370370370368,3.0,10239.187969747803,54096.0,10234.780992727168,0.03703703703703698,0.979402177244,27.0,2.8200000000000003,2.09089797666,0.4884003878184397,55.0,117202944.0,3.101510281123064,2.9828622325120207,34436.944470463786,34946.40339568261,34768.0,0.65165,1.45102,"60,0,80,40,20,100,180,140,120,160",237.67,2.2257599999999997,38.3,76.6,23572480.0,3.2256182285375736
14,10,5000,10000,2.5e-08,2.37733978869e-07,0.1,1144839924,True,True,True,True,8.891305346996731,2.040733616239,10217.219424216071,54096.0,10215.996643714348,6.6272624435164005,97.0,0.0,8.274299294409401,194.0,2064384.0,7.3778993787757186,7.0937596867710875,1.93,1.91885,,6.3085,,5.1455,73940992.0,6.4489967018959335,5.503919060392014,2.103896103896104,3.0,10226.058961615534,54096.0,10222.713766258224,0.09432672590567318,2.397661378719,77.0,2.62,3.5948494411852003,0.7885222625748897,162.0,117608448.0,4.3286845097106585,6.645752801976378,39833.024252065334,40614.554408185846,34768.0,1.66973,4.67732,"140,120,20,0,40,100,60,160,180,80",261.21,5.67778,56.1,112.2,20389888.0,5.229811937906017
15,50,5000,10000,2.5e-08,2.37733978869e-07,0.0,462568971,True,True,True,True,76.01147934304703,9.6477896087085,25191.5483757068,56144.0,25189.471454201597,33.305692648916,82.0,0.0,36.061360399952996,164.0,2170880.0,55.27598371305995,67.24589628331435,15.22,9.36,,32.9812,,32.1691,621449216.0,32.69249234757026,116.00378801398888,2.3953488372093017,6.0,24873.13657190399,56144.0,24870.65038029625,0.6653898768809848,27.702953902024003,86.0,2.47,28.248836394629997,,206.0,122380288.0,27.604480245507922,64.96754332521361,73710.0915707975,74333.72913945181,36816.0,10.25996,34.3783,"180,40,20,60,160,100,80,120,140,0",900.96,34.794439999999994,103.8,207.6,60080128.0,28.077223660373612
16,50,5000,10000,2.5e-08,2.37733978869e-07,0.01,462568971,True,True,True,True,103.1524036318808,11.68181506151145,25116.438848888163,63048.0,25112.230819617085,47.9807988650673,303.0,0.0,50.547635494721696,606.0,2162688.0,55.16526935290305,95.32015931926684,12.41,10.87315,,44.5363,,43.7216,626520064.0,46.114366984575035,122.812996053518,2.440366972477064,6.0,24918.564649000768,58192.0,24905.34233810215,0.6005776418620451,34.0835663481637,109.0,2.91,34.9996653264977,,266.0,122621952.0,38.28120576018921,71.46837523025219,89144.22303273642,89505.31514345892,37430.4,10.57403,37.6559,"140,160,180,60,100,40,20,120,80,0",796.8100000000003,38.0252,125.2,250.4,60383232.0,30.083714778452386
17,50,5000,10000,2.5e-08,2.37733978869e-07,0.1,462568971,True,True,True,True,140.57875247195508,20.356835500234848,27580.847190095694,90297.0,27580.517123269678,87.778363991325,1342.0,0.04,89.7369206970883,2684.0,2207744.0,70.75018153192748,156.1347352412766,13.4,18.5671,,80.4343,,79.0603,591405056.0,77.40343884300081,115.31484404914976,2.6004228329809727,7.0,24993.12964922857,67816.0,24989.35827908656,0.9438133801555164,58.8847981428485,473.0,3.05,60.3410598112899,,1230.0,123064320.0,54.879165157365435,124.2403821030271,133257.57791260158,134459.70958157643,42648.0,16.81874,71.22024,"160,60,80,40,140,120,0,180,100,20",1711.08,72.16954,364.0,728.0,46419968.0,56.15983885175965
18,10,5000,10000,2.5e-08,9.464360167200001e-07,0.0,163868758,True,True,True,True,5.189978888909719,1.147497807514,17700.807783678785,59788.0,17699.903722933082,2.375002063804,17.0,0.0,4.27858591311,34.0,2101248.0,5.425744289340146,4.439266970427123,10.44,1.1587,,3.5095,,2.4307,611028992.0,4.301759584080638,4.909921330446854,2.0476190476190474,3.0,17134.931387160075,59788.0,17134.86353809295,0.04761904761904745,1.014599293788,21.0,5.6499999999999995,1.0280080502179998,,43.0,169791488.0,2.469753176764563,3.8326546249967985,51499.83446026224,51502.923167759734,34768.0,0.92111,1.8488799999999999,"0,60,80,180,20,40,140,120,160,100",223.58,1.8582400000000001,28.4,56.8,34353152.0,2.130967868469776
19,10,5000,10000,2.5e-08,9.464360167200001e-07,0.01,163868758,True,True,True,True,8.623934602219805,1.9598537864296497,17639.771464578727,61836.0,17639.068610484028,5.7784373749862015,94.0,0.0,7.2811931681902,188.0,2064384.0,6.606138824383907,7.500367143448155,8.440000000000001,1.52625,,5.5414,,5.1399,282918912.0,4.6368591431416935,5.92332900872725,2.020833333333333,3.0,17158.003728099306,59788.0,17157.249341867006,0.02083333333333313,3.415674455324,48.0,5.31,3.4812618843892,,97.0,169607168.0,2.4405817026096424,3.1371885012346064,54995.358866476796,54996.19307941424,34768.0,0.71677,1.52932,"20,80,160,140,60,120,0,100,40,180",221.8,1.5384,33.0,66.0,26193920.0,1.6555251241217075
20,10,5000,10000,2.5e-08,9.464360167200001e-07,0.1,163868758,True,True,True,True,11.720681766475293,2.4436269864629505,17173.683462730234,80296.0,17170.723869136546,9.142457070565705,833.0,0.02,10.853145659918807,1666.0,2060288.0,8.678305077869153,11.179066779430116,5.71,2.3898,,9.0502,,8.5431,191680512.0,6.8716287708273125,11.179421358762543,2.057755775577558,4.0,17142.805516140776,77684.0,17132.05571283345,0.06112156670212492,6.6364039131510015,606.0,2.58,7.186185639731001,2.01596382059786,1247.0,168222720.0,6.131978722465463,9.390674882970028,72713.74390554753,72735.21564316281,35800.8,1.65031,6.14154,"160,100,60,80,180,120,0,20,140,40",288.11,6.1885400000000015,68.9,137.8,23199744.0,4.82146425328462
21,50,5000,10000,2.5e-08,9.464360167200001e-07,0.0,1628326614,True,True,True,True,42.04664776114351,5.7587037338156,30074.96041610992,67140.0,30072.931712918766,15.1144170361714,122.0,0.01,17.896750721436398,244.0,2220032.0,47.14420430385405,39.4115154261877,35.910000000000004,4.5776,,12.807,,11.3153,1268903936.0,30.07985971833552,50.89690793341386,2.1386861313868613,5.0,28041.96603602877,69188.0,28040.916458179832,0.2379776728209531,11.7233828400439,137.0,18.53,11.8015745187489,,293.0,262307840.0,14.149257986185884,40.8562197669984,82405.77675907401,82563.30556427145,37020.8,5.64645,15.81634,"80,120,40,160,60,0,100,180,140,20",748.8699999999999,16.0055,120.6,241.2,49139712.0,16.398125231828395
22,50,5000,10000,2.5e-08,9.464360167200001e-07,0.01,1628326614,True,True,True,True,88.38603404625043,14.948642272454661,31189.672610550304,98094.0,31186.997493408086,55.55482762482432,1205.0,0.07,57.79851170782532,2410.0,2211840.0,52.29880372143506,72.20465151694553,24.29,10.97175,,39.9724,,39.0801,737067008.0,33.61081932200236,53.43395689877119,2.1127819548872178,4.0,28355.605660339308,75580.0,28353.855168377384,0.12543922620621895,24.304960274623,399.0,19.31,24.580586283713995,,843.0,261165056.0,17.552694975221762,43.086591245541534,92651.201926174,92741.70371793026,37840.0,7.05432,18.827920000000002,"120,20,180,0,160,80,100,140,60,40",760.0,19.012539999999998,128.6,257.2,53293056.0,15.954735068649276
23,50,5000,10000,2.5e-08,9.464360167200001e-07,0.1,1628326614,True,True,True,True,117.1340739607215,19.811216355184232,57922.36776897541,242161.0,57922.22284248295,84.62012130011519,6451.0,0.32,86.8187312476799,12902.0,2211840.0,81.03130611270079,126.77527219818847,17.1,18.7943,,80.1725,,78.9708,949587968.0,67.51918843563637,89.170764489988,2.2833186231244484,9.0,30120.87521866845,153943.0,30119.75936562416,0.40028374512394266,52.85627170381928,3399.0,8.96,54.01275860958923,,7761.0,251133952.0,40.17776342237908,79.71264415866806,177102.80661742372,177204.23055445938,46079.444444444445,15.72345,57.652240000000006,"60,180,160,40,100,20,0,140,80,120",1856.88,57.96660000000001,461.0,922.0,51425280.0,27.895271013649996
