Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,fastARG_completed,ARGweaver_completed,tsinfer_completed,RentPlus_completed,fastARG_0_wRFunrooted,fastARG_0_KCrooted,fastARG_0_SPRunrooted,fastARG_ts_filesize,fastARG_memory,fastARG_0_RFrooted,fastARG_edges,fastARG_0_pathunrooted,fastARG_0_RFunrooted,fastARG_cputime,fastARG_0_wRFrooted,RentPlus_0_SPRunrooted,RentPlus_0_KCrooted,RentPlus_0_RFrooted,RentPlus_0_wRFrooted,RentPlus_0_wRFunrooted,RentPlus_0_RFunrooted,RentPlus_0_pathunrooted,RentPlus_cputime,RentPlus_memory,tsinfer_2_wRFunrooted,tsinfer_max_polytomy,tsinfer_0_wRFunrooted,tsinfer_2_KCrooted,tsinfer_mean_polytomy,tsinfer_2_RFunrooted,tsinfer_0_RFunrooted,tsinfer_0_SPRunrooted,tsinfer_2_pathunrooted,tsinfer_2_RFrooted,tsinfer_2_SPRunrooted,tsinfer_0_pathunrooted,tsinfer_0_wRFrooted,tsinfer_ts_filesize,tsinfer_var_polytomy,tsinfer_cputime,tsinfer_2_wRFrooted,tsinfer_memory,tsinfer_edges,tsinfer_0_RFrooted,tsinfer_0_KCrooted,ARGweaver_edges,ARGweaver_0_KCrooted,ARGweaver_memory,ARGweaver_ts_filesize,ARGweaver_0_SPRunrooted,ARGweaver_0_pathunrooted,ARGweaver_0_RFunrooted,ARGweaver_0_wRFunrooted,ARGweaver_0_RFrooted,ARGweaver_cputime,ARGweaver_0_wRFrooted,ARGweaver_iterations
1082,77,16,5000,1000000,1e-08,2.714417616594907e-09,0,1793,553,167,2132119182,True,False,True,True,67804.09673240296,16.922604664671958,3.810175066681426,27244.0,2088960.0,16.892510239034873,400.0,21.565223500274293,14.768462833061992,0.0,67810.47533163651,3.436948,15.288280707178506,14.538698,,,12.76225,18.356925858855345,3.06,113209344.0,68992.25494883544,67.0,68992.25494883543,18.602060767382763,4.8604651162790695,14.8702542098016,13.166308125107038,3.6035763408455934,20.90785479463311,16.767030071383868,3.739599961575786,21.64244017287413,68996.12788623438,28892.0,54.7479718766901,1.28,68996.12788623436,59269120.0,418.0,14.768203647676833,16.35001867988248,,,,,,,,,,,,
1083,77,16,5000,1000000,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,1793,553,167,2132119182,True,False,True,True,67513.39622795604,17.725532367698367,3.852763120777485,28940.0,2072576.0,16.501149851342188,443.0,20.70735512341268,14.303224423162115,0.0,67522.6309130049,3.586429,16.265374845432913,15.032224,,,13.266926,19.41958091643238,4.41,154546176.0,68988.47058008576,67.0,68988.47058008576,18.9077079028092,4.677083333333333,15.617197058537311,13.664259210080786,,21.947867985681977,17.443718513047806,3.8659460427153496,22.401592493829785,68992.13968198144,30116.0,47.822808159722214,1.1,68992.13968198143,59514880.0,449.0,15.182842344477384,16.288601494821958,,,,,,,,,,,,
1084,77,16,5000,1000000,1e-08,1e-08,0,1727,515,615,1082334454,True,True,True,True,59729.32251859449,16.341989244591108,3.722886467098688,58556.0,2105344.0,15.986035419625251,744.0,19.500742877676007,13.830140884206743,0.01,59736.91149831731,2.740098,13.283978447157944,11.203604,,,9.642894,15.864525017428955,8.74,330653696.0,61794.437958215625,118.0,61794.43795821565,13.960045212964554,4.459595959595959,11.519699786021885,10.245030374807511,3.0373486003393046,17.24954122836861,13.036913367223173,3.2509274196733804,18.93893215160988,61796.91359856679,64396.0,72.63220589735742,1.18,61796.913598566796,59908096.0,883.0,11.62160536309125,12.960931571902893,1919.9,13.294230171091616,1233928192.0,80856.8,3.0622428,16.775547319911535,11.0640838,57681.664574934905,12.4691676,37893.0,58215.39537649191,"0,20,40,60,80,100,120,140,160,180"
1085,77,16,5000,1000000,1e-08,1e-08,EmpiricalErrorPlatinum1000G,1727,515,615,1082334454,True,False,True,True,59409.28228841049,16.827601238572143,3.761055961143436,67948.0,2134016.0,16.46913653982259,986.0,20.615092367175084,14.370226794556446,0.02,59416.14960131452,3.144635,14.010614601020674,12.72132,,,11.12383,17.109484533603645,9.549999999999999,323297280.0,61792.342152462785,133.0,61792.34215246279,14.88937842813938,4.754464285714286,12.690270258743105,11.21936361657326,3.0772567002304263,18.61526244301475,14.246772105708462,3.492134958761153,19.612807808687013,61794.7523175269,70820.0,85.09596221301021,1.18,61794.75231752689,59514880.0,1065.0,12.577026171654921,13.379052728113079,,,,,,,,,,,,
1086,77,16,5000,1000000,1e-08,3.6840314986403866e-08,0,1954,582,2779,1359821857,True,False,True,True,68533.03524665989,14.284352911395553,2.8717970959803463,180396.0,2174976.0,12.050762337106395,1660.0,15.619722474006554,9.820642661317633,0.09,68586.48003846733,2.107802,9.678289569578943,7.707052,,,6.68419,12.43928141989304,20.23,728633344.0,73256.39730795441,171.0,73256.39730795442,9.371222746957098,4.273148148148148,7.763593628672285,7.137883282856557,2.281742226837974,13.350709228404064,8.470464136988294,2.4185083139221915,14.206332017580388,73258.01775191567,187380.0,74.04576045953361,1.67,73258.01775191566,62607360.0,1846.0,7.826341757645137,9.220817832276117,,,,,,,,,,,,
1087,77,16,5000,1000000,1e-08,3.6840314986403866e-08,EmpiricalErrorPlatinum1000G,1954,582,2779,1359821857,True,True,True,True,69687.29359476049,15.897997376942785,3.8025767481251616,234604.0,2117632.0,15.738943180816575,3067.0,19.49930159762316,13.420330064537294,0.16,69714.15527723549,2.662964,10.568909168183769,9.437812,,,8.411248,14.15240179549787,20.78,737697792.0,73256.18117909832,311.0,73256.18117909832,10.570699472879346,4.488549618320612,9.508558848699073,8.810896865093062,2.4942681122830312,15.248224128595787,10.382583176408234,2.8094598233294206,15.87006747095371,73258.15408361661,227724.0,156.25902919410288,1.3,73258.1540836166,63836160.0,2940.0,9.643996657331536,10.174833865866118,2571.2,9.669909975571864,1351462912.0,106093.6,2.5868444,13.893795356201437,8.492905799999999,48659.09890911687,9.371738,39594.42,49251.27013884038,"0,20,40,60,80,100,120,140,160,180"
1088,77,16,5000,1000000,1e-08,1.3572088082974523e-07,0,1763,531,9844,1095146511,True,True,True,True,67850.04940773532,13.815399545750562,1.9633854516927711,462500.0,3051520.0,8.473939677718699,1629.0,11.187112620332174,5.82575116453503,0.34,67873.549733402,1.395023,6.677193559830588,4.844916,,,4.082416,8.822547660674042,59.93,1809395712.0,72499.2429156804,216.0,72499.2429156804,5.217656573967662,4.093511450381679,4.784880393295361,4.640638508623333,1.6302990426124997,9.43478094849215,5.018283127146162,1.63931951784072,10.1002952752551,72499.96692066436,481772.0,93.26033957811322,2.81,72499.96692066433,73265152.0,2145.0,4.864577399454072,5.397231638059585,2027.4,5.436071224077937,1263521792.0,85340.0,1.1047981999999998,7.14303767430274,3.1879954,25790.353602787032,3.630269,39326.37,26253.22620144401,"0,20,40,60,80,100,120,140,160,180"
1089,77,16,5000,1000000,1e-08,1.3572088082974523e-07,EmpiricalErrorPlatinum1000G,1763,531,9844,1095146511,True,True,True,True,77047.38767772014,15.098492104235845,3.3393912061095747,694572.0,3108864.0,14.271451514736693,7679.0,17.971950145762925,11.890164862382738,1.36,77180.69875539863,2.28475,8.705878538886802,7.894166,,,7.137544,13.233374652277313,48.269999999999996,1542520832.0,72497.46301841586,677.0,72497.46301841587,7.717380970244823,4.9571750563486106,7.719596227276506,7.136094734985237,2.1709174667897906,13.30308617677727,8.159625933445078,2.371364710721617,13.92870002866643,72498.41730706778,643524.0,363.1243869107527,3.68,72498.41730706778,79556608.0,6598.0,7.555156504657049,7.4522301693969455,2247.5,5.995624734780586,1304649728.0,93646.0,1.5538851,8.878201593798726,4.3480702,28725.66092044406,4.8552874,43297.45,29165.890242215282,"0,20,40,60,80,100,120,140,160,180"
1090,77,16,5000,1000000,1e-08,5e-07,0,1992,593,34534,1370964891,True,True,True,True,63184.36154312803,11.710401176397404,1.0436145696240264,1461756.0,5865472.0,5.111605034528215,1923.0,6.043913705641309,2.544669400599439,1.46,63197.968169336775,0.662987,5.317773840026023,2.363196,,,1.50494,4.073949344413185,402.41,5619658752.0,68945.49055469593,261.0,68945.4905546959,3.424050876389756,4.1671732522796345,1.8612094551266376,1.8213112056868817,0.7059672946999861,4.973806639974018,2.083732586331304,0.7606417082154564,5.1530187060166535,68946.08202460338,1491676.0,109.76232665995329,6.2,68946.08202460338,109498368.0,2742.0,2.036625593740048,3.4171464903340225,2225.714285714286,4.582440055072838,1257418752.0,92774.28571428572,0.479495,2.8962923753927674,1.1350248,18392.153781424404,1.8142464,37699.60000000001,18772.117664730868,"0,20,40,60,80,100,120,140,160,180"
1091,77,16,5000,1000000,1e-08,5e-07,EmpiricalErrorPlatinum1000G,1992,593,34534,1370964891,True,True,True,True,128513.2286808019,15.471945918017626,2.923093395787016,2221580.0,5750784.0,12.57788688935399,21683.0,15.402186354142456,9.77021566243199,12.48,128947.3707538391,1.787378,7.700760798462987,5.83458,,,4.96641,9.691808846463335,255.35,3870773248.0,68945.06137956807,1968.0,68945.06137956807,6.237237567266622,5.528329439252336,5.3201074541421205,4.9245089535130795,1.4124025973137069,9.883204971687338,5.765893074335163,1.8221395685628363,10.525901033019137,68946.00604507605,2075428.0,1199.0313236110962,16.32,68946.00604507605,149065728.0,18929.0,5.338283397887993,6.028761657673588,2315.375,4.87745603820153,1288228864.0,96092.0,0.5603739000000001,3.590594700554982,1.3626003999999998,20578.5635923371,2.0413712,36224.32,20952.19009125694,"0,20,40,60,80,100,120,140,160,180"
