,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,output_frequency,output_after_generations,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
518,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,ARGweaver,per site,retained,unrooted,path,30.505954484500304,0.6653673018925398
520,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,RentPlus,per site,retained,rooted,KC,34.2574276374709,1.6321663569771048
521,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,RentPlus,per site,retained,rooted,RF,22.7520242,0.5077269064111976
522,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,RentPlus,per site,retained,unrooted,RF,20.9924222,0.4947616735884295
523,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,RentPlus,per site,retained,unrooted,SPR,4.966647420831864,0.1224948915624631
524,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,RentPlus,per site,retained,unrooted,path,32.438621874419034,0.9144623599268016
525,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,fastARG,per site,retained,rooted,KC,37.517521369816926,1.6514989611782254
526,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,fastARG,per site,retained,rooted,RF,23.25585492736664,0.44993002496301754
528,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,fastARG,per site,retained,unrooted,RF,20.912930867430926,0.4637317913154479
529,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,fastARG,per site,retained,unrooted,SPR,4.969342659346485,0.12579100302729
530,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,fastARG,per site,retained,unrooted,path,34.47114051011807,1.0494196026670664
532,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,broken,rooted,KC,20.426550395487173,0.5287182502005847
533,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,broken,rooted,RF,22.720976925882816,0.43833274871492584
535,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,broken,unrooted,RF,21.109269523366905,0.4031770596395812
536,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,broken,unrooted,SPR,5.149819140368563,0.08797685664202246
537,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,broken,unrooted,path,29.032832945018864,0.6593160065572335
539,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,retained,rooted,KC,17.459547028374644,0.6393732343706976
543,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,200,tsinfer,per site,retained,unrooted,path,44.977904932042904,1.0783689557109228
545,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,ARGweaver,per site,retained,rooted,KC,22.065273729026494,0.4768632847529223
546,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,ARGweaver,per site,retained,rooted,RF,18.548548439999998,0.3829761281452592
548,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,ARGweaver,per site,retained,unrooted,RF,16.651676280000004,0.3763602128787294
549,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,ARGweaver,per site,retained,unrooted,SPR,4.154296074646448,0.08640091977365301
550,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,ARGweaver,per site,retained,unrooted,path,25.34531971448361,0.4596039100469443
552,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,RentPlus,per site,retained,rooted,KC,24.529215261799344,0.7804938572187338
553,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,RentPlus,per site,retained,rooted,RF,17.155537399999996,0.44535501703814406
554,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,RentPlus,per site,retained,unrooted,RF,15.134377199999992,0.45119580907338996
555,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,RentPlus,per site,retained,unrooted,SPR,3.734142110721665,0.11570600802072882
556,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,RentPlus,per site,retained,unrooted,path,24.46365524028024,0.6091693403313502
557,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,fastARG,per site,retained,rooted,KC,26.468018456443524,0.9454394168357831
558,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,fastARG,per site,retained,rooted,RF,18.158288051557268,0.4863696384597234
560,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,fastARG,per site,retained,unrooted,RF,15.337553596033647,0.48997980574721883
561,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,fastARG,per site,retained,unrooted,SPR,3.8521076871863937,0.11894738797345338
562,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,fastARG,per site,retained,unrooted,path,25.566582638461487,0.7503912623766269
564,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,broken,rooted,KC,19.00589481576,0.5812775752147596
565,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,broken,rooted,RF,17.269817848553426,0.42677148231212836
567,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,broken,unrooted,RF,15.54606392744049,0.4167987900793279
568,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,broken,unrooted,SPR,3.9202099724898356,0.09511846535833426
569,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,broken,unrooted,path,23.904745006593526,0.5241976174375215
571,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,retained,rooted,KC,17.284497140639616,0.6013463114959445
575,5000,100000,16,1e-08,2.5718433618052004e-08,0,1.0,1000,tsinfer,per site,retained,unrooted,path,33.45826688543071,0.8641083025792652
577,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,ARGweaver,per site,retained,rooted,KC,10.747312239946883,0.29018883435047693
578,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,ARGweaver,per site,retained,rooted,RF,11.523490520000001,0.3237719747874815
580,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,ARGweaver,per site,retained,unrooted,RF,10.52719452,0.3047272426756502
581,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,ARGweaver,per site,retained,unrooted,SPR,3.1243470408163256,0.07482695915851337
582,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,ARGweaver,per site,retained,unrooted,path,15.563759322404202,0.30621197273642536
584,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,RentPlus,per site,retained,rooted,KC,10.763497546885453,0.315701372419992
585,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,RentPlus,per site,retained,rooted,RF,10.8731008,0.35985338037570747
586,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,RentPlus,per site,retained,unrooted,RF,9.803722399999998,0.3463452947832476
587,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,RentPlus,per site,retained,unrooted,SPR,3.018813265306122,0.08815935366118641
588,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,RentPlus,per site,retained,unrooted,path,15.192424942728515,0.391647344290919
589,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,fastARG,per site,retained,rooted,KC,15.383637805618404,0.3698804602070446
590,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,fastARG,per site,retained,rooted,RF,14.309249948743464,0.40159799213710584
592,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,fastARG,per site,retained,unrooted,RF,12.043836912879451,0.3874167153095472
593,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,fastARG,per site,retained,unrooted,SPR,3.5003636690686353,0.10593791824666739
594,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,fastARG,per site,retained,unrooted,path,17.523500494089667,0.40360430591052404
596,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,broken,rooted,KC,11.038798825857548,0.2831854353906365
597,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,broken,rooted,RF,11.70477217789721,0.35832748577613105
599,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,broken,unrooted,RF,10.70032753421251,0.346612486822995
600,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,broken,unrooted,SPR,3.1819140717730887,0.08580806416114854
601,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,broken,unrooted,path,15.874768482977583,0.35692006224875217
603,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,retained,rooted,KC,10.227757828803925,0.26572206108051954
607,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,retained,unrooted,SPR,2.2514754852835566,0.2470361536563814
608,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.2,0,tsinfer,per site,retained,unrooted,path,18.01516378489129,0.58636698249616
610,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,rooted,KC,13.740550379554582,0.294125954614468
611,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,rooted,RF,16.36361208,0.34982608582586866
613,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,unrooted,RF,15.393766079999995,0.35158638182972535
614,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,unrooted,SPR,4.056089208333333,0.07829925463745482
615,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,ARGweaver,per site,retained,unrooted,path,21.02548191282762,0.46334385386408605
617,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,rooted,KC,14.255062819038764,0.4556036134939974
618,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,rooted,RF,15.840493599999997,0.46585152988336764
619,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,unrooted,RF,14.859988399999999,0.4631455833691121
620,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,unrooted,SPR,3.949736666666668,0.1136924875698337
621,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,RentPlus,per site,retained,unrooted,path,21.30593310692937,0.6914071507557813
622,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,rooted,KC,17.41725122214223,0.44913481648549136
623,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,rooted,RF,18.81476041209968,0.4099960700699475
625,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,unrooted,RF,16.76494356516083,0.4226552999256424
626,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,unrooted,SPR,4.457436547384356,0.08505265524712255
627,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,fastARG,per site,retained,unrooted,path,23.729602750230487,0.6632517810387402
629,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,rooted,KC,13.791978960627773,0.32653103869573513
630,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,rooted,RF,16.860507981351976,0.34212638522818883
632,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,unrooted,RF,15.922129363920682,0.3409177437187195
633,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,unrooted,SPR,4.175386021710422,0.07444175750477508
634,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,broken,unrooted,path,21.187365447868594,0.46191938643963387
636,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,retained,rooted,KC,12.350091203488203,0.33383384252238535
640,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.5,0,tsinfer,per site,retained,unrooted,path,28.315732991731146,0.8656082971182868
642,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,rooted,KC,18.32013559479622,0.4310054915146956
643,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,rooted,RF,20.74418516,0.3751079979204949
645,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,unrooted,RF,20.02611524,0.3989479830899216
646,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,unrooted,SPR,4.933849553044583,0.0871308593547984
647,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,ARGweaver,per site,retained,unrooted,path,27.36032038156806,0.6354480013002664
649,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,rooted,KC,19.975263115561656,0.853292461953005
650,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,rooted,RF,20.387475600000002,0.434632325200645
651,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,unrooted,RF,19.5529732,0.4585363109866658
652,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,unrooted,SPR,4.789836708484168,0.1205131989700237
653,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,RentPlus,per site,retained,unrooted,path,26.576956844906768,0.7171587609266182
654,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,rooted,KC,24.26214657416069,0.9627308102601939
655,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,rooted,RF,22.65767219788802,0.37710664792022425
657,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,unrooted,RF,20.46942414022395,0.3763048565959121
658,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,unrooted,SPR,5.025438536093717,0.10217041416831886
659,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,fastARG,per site,retained,unrooted,path,30.234310269706324,0.8029645286883182
661,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,rooted,KC,17.711409671244127,0.43899652295163694
662,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,rooted,RF,20.74325820674315,0.32166889040282504
664,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,unrooted,RF,20.14867830356205,0.34701998652932387
665,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,unrooted,SPR,4.965268418922571,0.07886338677169698
666,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,broken,unrooted,path,26.861478295442236,0.5650787192672472
668,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,retained,rooted,KC,15.288392031930723,0.4823310649975272
672,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,0.8,0,tsinfer,per site,retained,unrooted,path,40.03229139796205,1.0829338218376088
674,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,rooted,KC,23.01679056975571,0.5750308764011997
675,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,rooted,RF,23.971307479999997,0.3516346573679218
677,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,unrooted,RF,22.382740839999997,0.33711929853829037
678,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,unrooted,SPR,5.3969852,0.07860746022991442
679,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,ARGweaver,per site,retained,unrooted,path,30.12356942303752,0.567795001638536
681,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,rooted,KC,30.357524200562526,1.375974323417691
682,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,rooted,RF,23.3777576,0.439463893664009
683,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,unrooted,RF,21.678333600000002,0.42795872434023263
684,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,unrooted,SPR,5.176926666666667,0.1151762830182455
685,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,RentPlus,per site,retained,unrooted,path,30.264974595221055,0.7262437362954013
686,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,rooted,KC,35.337618118080584,1.485281906304399
687,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,rooted,RF,24.1621171292551,0.4025649611804522
689,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,unrooted,RF,21.952047725960867,0.41222411043913426
690,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,unrooted,SPR,5.200373777200137,0.12773131431886492
691,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,fastARG,per site,retained,unrooted,path,33.532580445867396,0.8010846236462216
693,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,rooted,KC,21.450990510669236,0.6423241857041678
694,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,rooted,RF,23.552646903059955,0.3758528291429702
696,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,unrooted,RF,22.058175826059266,0.3705728608942626
697,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,unrooted,SPR,5.344043456993467,0.09001168193622712
698,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,broken,unrooted,path,28.978906192018396,0.5935523801260543
700,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,retained,rooted,KC,16.752559349674268,0.6415691943564742
704,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,0,tsinfer,per site,retained,unrooted,path,46.24675677084105,0.8246531076773758
706,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,rooted,KC,23.69863971777356,0.6205352445742163
707,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,rooted,RF,23.578247079999997,0.3960820190818789
709,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,unrooted,RF,21.901894000000002,0.36110291145812307
710,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,unrooted,SPR,5.2783394801562675,0.0864300848453948
711,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,ARGweaver,per site,retained,unrooted,path,30.584262764396726,0.6166015328885392
713,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,rooted,KC,33.58836020340952,1.5264867260224368
714,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,rooted,RF,23.055586999999996,0.48110324556184686
715,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,unrooted,RF,21.307983800000002,0.46187498521577525
716,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,unrooted,SPR,5.060287741074344,0.10914322879818972
717,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,RentPlus,per site,retained,unrooted,path,32.372262196187165,0.9208897282456354
718,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,rooted,KC,37.40714675408235,1.5452857887805318
719,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,rooted,RF,23.424910979815184,0.4444941935051697
721,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,unrooted,RF,21.11152106150965,0.46840187047560844
722,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,unrooted,SPR,5.076858601224024,0.10531150714576774
723,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,fastARG,per site,retained,unrooted,path,34.44150219949587,1.0984542525622212
725,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,rooted,KC,20.688994391902714,0.4928137861694403
726,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,rooted,RF,23.060724491404113,0.4198912722373879
728,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,unrooted,RF,21.413168990979113,0.38851683588824715
729,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,unrooted,SPR,5.197148182250525,0.08302104709667966
730,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,broken,unrooted,path,29.33167604259876,0.6015690246476056
732,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,retained,rooted,KC,17.576647947634672,0.6077101715477692
736,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,200,tsinfer,per site,retained,unrooted,path,44.67152641224508,1.0865724758225768
738,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,rooted,KC,21.853481890039994,0.4604177873858584
739,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,rooted,RF,18.97742868,0.36855430014986534
741,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,unrooted,RF,17.094445840000002,0.36069958593160617
742,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,unrooted,SPR,4.2513736267952575,0.08407347547594898
743,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,ARGweaver,per site,retained,unrooted,path,25.46220451244304,0.4444605607710799
745,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,rooted,KC,24.61013280022273,0.8075142766009541
746,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,rooted,RF,17.621565,0.43705816042020995
747,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,unrooted,RF,15.619473600000001,0.43431318609367303
748,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,unrooted,SPR,3.863483697344963,0.10945858331034498
749,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,RentPlus,per site,retained,unrooted,path,24.732337100391163,0.576677957077468
750,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,rooted,KC,27.094446353430143,1.0042545301784207
751,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,rooted,RF,18.569901811223417,0.4865432428125073
753,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,unrooted,RF,15.719068229575257,0.49406157954160324
754,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,unrooted,SPR,3.935450688608833,0.11577219756273133
755,5000,100000,16,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,1.0,1000,fastARG,per site,retained,unrooted,path,25.72236376965048,0.7332214384778615
