,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,ancestral_state_error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
55,5000,100000,16,1e-08,4.999999999999999e-09,0,0.01,tsinfer,per site,broken,unrooted,SPR,3.9402682820373034,0.05538349041201335
56,5000,100000,16,1e-08,4.999999999999999e-09,0,0.01,tsinfer,per site,broken,unrooted,path,20.966217675822314,0.3183884707091282
58,5000,100000,16,1e-08,4.999999999999999e-09,0,0.01,tsinfer,per site,retained,rooted,KC,13.93711013673804,0.2474835959533957
62,5000,100000,16,1e-08,4.999999999999999e-09,0,0.01,tsinfer,per site,retained,unrooted,path,25.432948776555353,0.49520220750924426
64,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,ARGweaver,per site,retained,rooted,KC,15.835123879690718,0.34422584252993527
65,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,ARGweaver,per site,retained,rooted,RF,17.391063250000002,0.42346972598979277
67,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,ARGweaver,per site,retained,unrooted,RF,15.78754545,0.41746540914978186
68,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,ARGweaver,per site,retained,unrooted,SPR,4.132527475,0.08659440663269896
69,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,ARGweaver,per site,retained,unrooted,path,21.739749632804156,0.46225273873189415
71,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,RentPlus,per site,retained,rooted,KC,15.337534717859038,0.44264774248992106
72,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,RentPlus,per site,retained,rooted,RF,15.832353823529411,0.5848175349565831
73,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,RentPlus,per site,retained,unrooted,RF,14.078149705882351,0.5901793294170931
74,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,RentPlus,per site,retained,unrooted,SPR,3.795893235294118,0.13479423864116138
75,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,RentPlus,per site,retained,unrooted,path,20.030316472722713,0.6228452237268567
76,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,fastARG,per site,retained,rooted,KC,16.569146126435715,0.41231555255153585
77,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,fastARG,per site,retained,rooted,RF,15.446339247494878,0.3801589540471153
79,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,fastARG,per site,retained,unrooted,RF,13.316810303244283,0.36444482653305926
80,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,fastARG,per site,retained,unrooted,SPR,3.5896798743510456,0.08861085014827015
81,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,fastARG,per site,retained,unrooted,path,19.57936818205409,0.433181572243668
83,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,broken,rooted,KC,16.300665231533024,0.313084020043305
84,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,broken,rooted,RF,16.43310392567671,0.2768206855329106
86,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,broken,unrooted,RF,14.856005843455788,0.26605950068765544
87,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,broken,unrooted,SPR,3.944739712567263,0.0553648381458969
88,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,broken,unrooted,path,20.936599046944938,0.3217350990438204
90,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,retained,rooted,KC,13.999560959485644,0.23658094149680955
94,5000,100000,16,1e-08,4.999999999999999e-09,0,0.02,tsinfer,per site,retained,unrooted,path,25.604843454797336,0.4990129106884331
96,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,rooted,KC,15.60551610427175,0.402969182542886
97,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,rooted,RF,17.520702333333332,0.4438675022443786
99,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,RF,15.964371888888893,0.43874809359384637
100,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,SPR,4.191742111111112,0.09238365658045712
101,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,path,21.442522244873,0.4913624461299995
103,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,rooted,KC,15.746512791885701,0.601427557940466
104,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,rooted,RF,15.981595714285712,0.5628630990007963
105,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,RF,14.311121428571425,0.5539781944688927
106,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,SPR,3.8020719642857146,0.1280552391949418
107,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,path,20.351649565214704,0.6186257852584084
108,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,rooted,KC,16.93127775145583,0.39166120578685104
109,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,rooted,RF,16.75301854281291,0.3550327107084789
111,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,RF,14.649647325403784,0.3475500516613576
112,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,SPR,3.863990527022451,0.08285096833817038
113,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,path,20.89404795350084,0.4263398491220527
115,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,rooted,KC,16.899810193865118,0.3166210667611029
116,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,rooted,RF,17.072621948144683,0.2761897481916492
118,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,RF,15.463356311713234,0.2632756873560963
119,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,SPR,4.066262723851985,0.05598824878249886
120,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,path,21.57852958878726,0.31231647433732257
122,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,rooted,KC,14.280292204867242,0.24350568550331514
126,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,unrooted,path,25.868153231773082,0.4684812678228977
128,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,rooted,KC,15.973455855340404,0.3316639291966544
129,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,rooted,RF,17.24268825,0.351337887027035
131,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,RF,15.674240950000002,0.34914559613440815
132,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,SPR,4.073745350000001,0.07886976421660424
133,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,path,21.616523031284412,0.3985550964187356
135,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,rooted,KC,15.35708550409252,0.4724688680966473
136,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,rooted,RF,15.090722162162159,0.528041723581682
137,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,unrooted,RF,13.274533783783783,0.5113597167131271
138,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,unrooted,SPR,3.6466716216216226,0.11523308038207333
139,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,unrooted,path,19.544430001198958,0.5465944754804895
140,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,rooted,KC,17.340201264853434,0.4432795851573083
141,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,rooted,RF,16.14701665916126,0.3788985037746725
143,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,unrooted,RF,13.925188193836505,0.3707679751557103
144,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,unrooted,SPR,3.7459801853627472,0.09055787118067642
145,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,unrooted,path,20.290166208137677,0.44346939197024654
147,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,rooted,KC,16.920052812148644,0.3271695219825253
148,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,rooted,RF,17.025316350555155,0.26013978503769514
150,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,unrooted,RF,15.423467377166606,0.24984446743004413
151,5000,100000,16,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,unrooted,SPR,4.029535490891641,0.05255870951653842
