,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,ancestral_state_error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
267,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,RentPlus,per site,retained,rooted,RF,11.161588437500003,0.4505594275234555
268,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,RentPlus,per site,retained,unrooted,RF,9.563580000000002,0.4408945264516677
269,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,RentPlus,per site,retained,unrooted,SPR,2.9384921875,0.11164573880377704
270,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,RentPlus,per site,retained,unrooted,path,15.478880356974706,0.43125480176445835
271,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,fastARG,per site,retained,rooted,KC,14.390433623740304,0.29924650780294487
272,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,fastARG,per site,retained,rooted,RF,12.224205296137098,0.35911920036911904
274,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,fastARG,per site,retained,unrooted,RF,10.081011059128933,0.34613540702214296
275,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,fastARG,per site,retained,unrooted,SPR,3.018258360885782,0.09644839429707601
276,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,fastARG,per site,retained,unrooted,path,15.829200282252296,0.3559982865201841
278,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,broken,rooted,KC,11.953062861463422,0.23319055603376318
279,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,broken,rooted,RF,11.787367829726477,0.251349923659213
281,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,broken,unrooted,RF,10.61196370071896,0.24829576310781745
282,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,broken,unrooted,SPR,3.1377254270081063,0.05650035812501177
283,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,broken,unrooted,path,16.185123046797845,0.28042217695905003
285,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,retained,rooted,KC,11.038825589986567,0.20932220974091295
289,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,retained,unrooted,SPR,2.5841139885846123,0.2451165870111226
290,5000,100000,16,1e-08,1.4898859031336945e-08,0,0.02,tsinfer,per site,retained,unrooted,path,18.7876874433558,0.434331634028862
292,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,rooted,KC,12.506721614259025,0.30895010421329794
293,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,rooted,RF,13.180926684210524,0.3860923268679917
295,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,RF,12.002374684210524,0.3853673550367328
296,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,SPR,3.4173391052631574,0.08440245502414925
297,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,path,17.364482283553425,0.41695053279852823
299,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,rooted,KC,12.948971473027715,0.2780612328954513
300,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,rooted,RF,12.917170888888892,0.3086756191310575
301,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,RF,11.39075888888889,0.3092901233205788
302,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,SPR,3.389258777777778,0.07575160251516161
303,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,path,17.16122698529135,0.32113224330404394
304,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,rooted,KC,15.565373841907517,0.35212478806050773
305,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,rooted,RF,14.976112612491166,0.3670230483071309
307,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,RF,12.824831877791162,0.35172163044995436
308,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,SPR,3.5843255226725046,0.08867494616747568
309,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,path,18.400877326729624,0.37436070221390144
311,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,rooted,KC,12.660697885614509,0.2259864076429529
312,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,rooted,RF,13.159075084011056,0.2334784354060177
314,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,RF,11.929855224486168,0.2283366584442515
315,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,SPR,3.416835741743097,0.051258244540804354
316,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,path,17.40603815822729,0.2552432476690864
318,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,rooted,KC,11.542379636764508,0.20574675619995292
322,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,unrooted,SPR,3.2397103132804728,0.24925281562048907
323,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,unrooted,path,19.868269924206405,0.4155247156368083
325,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,rooted,KC,12.546762955823846,0.3551687114661152
326,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,rooted,RF,13.646659081081081,0.34357291895584763
328,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,RF,12.442052594594594,0.33709606393745606
329,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,SPR,3.439069378378378,0.07040353349228096
330,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,path,17.64258896204955,0.38789022951324226
332,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,rooted,KC,13.040852851061937,0.3386182594402941
333,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,rooted,RF,12.973149354838714,0.3724738167935572
334,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,unrooted,RF,11.491813870967741,0.3514824265567345
335,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,unrooted,SPR,3.2626224193548388,0.0885219109665842
336,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,RentPlus,per site,retained,unrooted,path,17.308588694732574,0.38272599304205474
337,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,rooted,KC,15.519976687639506,0.25980910590399786
338,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,rooted,RF,14.431131200884245,0.2682250233611734
340,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,unrooted,RF,12.277143179081545,0.26428178546433034
341,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,unrooted,SPR,3.449085498268989,0.07269703160592007
342,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,fastARG,per site,retained,unrooted,path,18.159550256006394,0.26094858541423893
344,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,rooted,KC,12.7744100586194,0.21807574636868177
345,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,rooted,RF,13.312443596181698,0.22637955000570958
347,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,unrooted,RF,12.076685781840736,0.22381409806347174
348,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,unrooted,SPR,3.463556000465011,0.05173666576502004
349,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,broken,unrooted,path,17.551877101887285,0.24354975327271453
351,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,retained,rooted,KC,11.66857620641315,0.19214196019205604
355,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,retained,unrooted,SPR,3.1249698754346,0.24263106325521927
356,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.01,tsinfer,per site,retained,unrooted,path,20.313189005944267,0.395525243914126
358,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,rooted,KC,12.690039576799236,0.2777176870047211
359,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,rooted,RF,13.004648666666665,0.31585931215101853
361,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,unrooted,RF,11.696673641025642,0.31811139892329127
362,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,unrooted,SPR,3.306116333333334,0.07670950067458425
363,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,ARGweaver,per site,retained,unrooted,path,17.14385088038926,0.31779652072011133
365,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,rooted,KC,12.726512651091737,0.3114342605838006
366,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,rooted,RF,11.782962727272725,0.4093212891624435
367,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,unrooted,RF,10.31791515151515,0.42459872262854026
368,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,unrooted,SPR,3.055123787878788,0.12352987664359168
369,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,RentPlus,per site,retained,unrooted,path,15.956427413419147,0.36732805710830896
370,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,rooted,KC,15.609607600338808,0.3053580722790412
371,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,rooted,RF,14.998681905955891,0.3169381609029998
373,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,unrooted,RF,12.810075089729752,0.30752768113912
374,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,unrooted,SPR,3.542242942648149,0.0761777966943975
375,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,fastARG,per site,retained,unrooted,path,18.393083476498525,0.3354859483867031
377,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,rooted,KC,12.978817518847196,0.22715411537653046
378,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,rooted,RF,13.360699513204429,0.2260895884053907
380,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,unrooted,RF,12.104041484203725,0.2206771105176098
381,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,unrooted,SPR,3.451124350953566,0.05012608252659158
382,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,broken,unrooted,path,17.553197024765208,0.24799884001939607
384,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,retained,rooted,KC,11.815046630752445,0.2078682691437665
388,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,retained,unrooted,SPR,2.7352400422383276,0.17459881500390023
389,5000,100000,16,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,0.02,tsinfer,per site,retained,unrooted,path,20.048894807638206,0.3834487426668066
391,5000,100000,16,1e-08,4.439520008713e-08,0,0,ARGweaver,per site,retained,rooted,KC,8.811353384723102,0.3472848527408993
392,5000,100000,16,1e-08,4.439520008713e-08,0,0,ARGweaver,per site,retained,rooted,RF,7.3607509032258065,0.2867702999524235
394,5000,100000,16,1e-08,4.439520008713e-08,0,0,ARGweaver,per site,retained,unrooted,RF,6.507129290322579,0.29108463605178175
395,5000,100000,16,1e-08,4.439520008713e-08,0,0,ARGweaver,per site,retained,unrooted,SPR,2.148037,0.08882509525788333
396,5000,100000,16,1e-08,4.439520008713e-08,0,0,ARGweaver,per site,retained,unrooted,path,11.636732228050723,0.37986601003486253
398,5000,100000,16,1e-08,4.439520008713e-08,0,0,RentPlus,per site,retained,rooted,KC,10.495376010034997,0.22552460866833504
399,5000,100000,16,1e-08,4.439520008713e-08,0,0,RentPlus,per site,retained,rooted,RF,8.162058787878786,0.36015204076315216
400,5000,100000,16,1e-08,4.439520008713e-08,0,0,RentPlus,per site,retained,unrooted,RF,6.816992121212122,0.3636518238251468
401,5000,100000,16,1e-08,4.439520008713e-08,0,0,RentPlus,per site,retained,unrooted,SPR,2.1649700000000003,0.10051101976158267
402,5000,100000,16,1e-08,4.439520008713e-08,0,0,RentPlus,per site,retained,unrooted,path,12.535366245013268,0.4277073244521679
403,5000,100000,16,1e-08,4.439520008713e-08,0,0,fastARG,per site,retained,rooted,KC,13.864644364012435,0.30028730141735716
404,5000,100000,16,1e-08,4.439520008713e-08,0,0,fastARG,per site,retained,rooted,RF,9.256709618611007,0.2784046163274197
406,5000,100000,16,1e-08,4.439520008713e-08,0,0,fastARG,per site,retained,unrooted,RF,6.938583973704332,0.26415344280062425
407,5000,100000,16,1e-08,4.439520008713e-08,0,0,fastARG,per site,retained,unrooted,SPR,2.2579188070782665,0.07900667191600522
408,5000,100000,16,1e-08,4.439520008713e-08,0,0,fastARG,per site,retained,unrooted,path,12.671697706834633,0.35177437497263675
410,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,broken,rooted,KC,8.512176745446386,0.19794231235699022
411,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,broken,rooted,RF,7.37741998271085,0.20031584388627688
413,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,broken,unrooted,RF,6.715503444851963,0.1971969620760065
414,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,broken,unrooted,SPR,2.188634959923166,0.053152171065426024
415,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,broken,unrooted,path,12.217288826041363,0.24518326497729337
417,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,retained,rooted,KC,8.183928495028733,0.17790003443630908
421,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,retained,unrooted,SPR,1.7685513308565268,0.06033413310911335
422,5000,100000,16,1e-08,4.439520008713e-08,0,0,tsinfer,per site,retained,unrooted,path,13.137855160229599,0.2692122126584794
424,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,ARGweaver,per site,retained,rooted,KC,8.814418088669328,0.2352841210717659
425,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,ARGweaver,per site,retained,rooted,RF,7.358260468085111,0.22042232320283683
427,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,ARGweaver,per site,retained,unrooted,RF,6.546538851063831,0.2075568363991802
428,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,ARGweaver,per site,retained,unrooted,SPR,2.1639404893617025,0.06406820343613238
429,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,ARGweaver,per site,retained,unrooted,path,11.787709799727518,0.24211773708339665
431,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,RentPlus,per site,retained,rooted,KC,10.913866820983895,0.21107097948414588
432,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,RentPlus,per site,retained,rooted,RF,8.606651891891891,0.30212891037645
433,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,RentPlus,per site,retained,unrooted,RF,7.191858378378379,0.30847270972992924
434,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,RentPlus,per site,retained,unrooted,SPR,2.2965808108108106,0.08556508585251757
435,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,RentPlus,per site,retained,unrooted,path,12.895724020803144,0.3585042452965174
436,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,fastARG,per site,retained,rooted,KC,13.658706713408753,0.30082238582529325
437,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,fastARG,per site,retained,rooted,RF,9.253377090953334,0.27082457452022857
439,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,fastARG,per site,retained,unrooted,RF,6.937205484030229,0.261538425852797
440,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,fastARG,per site,retained,unrooted,SPR,2.2688595052398353,0.08294571466610627
441,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,fastARG,per site,retained,unrooted,path,12.61082715120043,0.2956563026851419
443,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,broken,rooted,KC,8.756854324822386,0.20100755046009797
444,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,broken,rooted,RF,7.505103565774546,0.20065923198419497
446,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,broken,unrooted,RF,6.788173365334325,0.1971255531394307
447,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,broken,unrooted,SPR,2.1945602432402858,0.052815710150749914
448,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,broken,unrooted,path,12.325884581092687,0.24671347324344084
450,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,retained,rooted,KC,8.418483431161691,0.1812537781142882
454,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,retained,unrooted,SPR,1.8129782624213597,0.06561212031873598
455,5000,100000,16,1e-08,4.439520008713e-08,0,0.01,tsinfer,per site,retained,unrooted,path,13.300601555142194,0.2729049048509099
457,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,ARGweaver,per site,retained,rooted,KC,8.464706659281157,0.2797944419917362
458,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,ARGweaver,per site,retained,rooted,RF,7.4212266829268305,0.32485888948271
460,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,ARGweaver,per site,retained,unrooted,RF,6.613737414634144,0.32248907398101556
461,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,ARGweaver,per site,retained,unrooted,SPR,2.1679552926829264,0.08557635854931707
462,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,ARGweaver,per site,retained,unrooted,path,11.624173065983651,0.3779436657518923
464,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,RentPlus,per site,retained,rooted,KC,10.400589165037298,0.17170379934223487
465,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,RentPlus,per site,retained,rooted,RF,7.823072051282051,0.205990365547857
466,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,RentPlus,per site,retained,unrooted,RF,6.490933076923077,0.20990347753558594
467,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,RentPlus,per site,retained,unrooted,SPR,2.1675376923076928,0.070370228218299
468,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,RentPlus,per site,retained,unrooted,path,12.128984460297891,0.2618660092172833
469,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,fastARG,per site,retained,rooted,KC,13.981475244936346,0.29566440021495904
470,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,fastARG,per site,retained,rooted,RF,9.48197019021279,0.3056940394799127
472,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,fastARG,per site,retained,unrooted,RF,7.1342048295252685,0.2976087146481502
473,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,fastARG,per site,retained,unrooted,SPR,2.2665018404940156,0.08837414413968701
474,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,fastARG,per site,retained,unrooted,path,12.927399850468971,0.3741200727383936
476,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,broken,rooted,KC,8.91691398290874,0.1899787430302387
477,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,broken,rooted,RF,7.65365913383187,0.19774111102110964
479,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,broken,unrooted,RF,6.925390844124211,0.19458597693129198
480,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,broken,unrooted,SPR,2.2488644428098272,0.053965263467370225
481,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,broken,unrooted,path,12.453371351233248,0.23766597909550527
483,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,retained,rooted,KC,8.561478865320057,0.16590539332132412
487,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,retained,unrooted,SPR,1.8566878608959025,0.07185926452772823
488,5000,100000,16,1e-08,4.439520008713e-08,0,0.02,tsinfer,per site,retained,unrooted,path,13.513267599972004,0.2682267530501652
490,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,rooted,KC,9.16401348889219,0.21478517658689233
491,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,rooted,RF,8.422886,0.30688183929316265
493,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,RF,7.628771421052634,0.31220513266007327
494,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,SPR,2.3738606052631575,0.07649977807761245
495,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,ARGweaver,per site,retained,unrooted,path,12.922301134285092,0.3599865423308432
497,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,rooted,KC,11.421217882419882,0.25669143363843083
498,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,rooted,RF,9.807345454545453,0.4038183328616109
499,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,RF,8.617447878787877,0.40713704660673056
500,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,SPR,2.574252878787879,0.09520545733016836
501,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,RentPlus,per site,retained,unrooted,path,14.491004645545654,0.4390600454437408
502,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,rooted,KC,15.465655018431075,0.2909288321625398
503,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,rooted,RF,13.634031738058779,0.2751113405357097
505,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,RF,11.343094047101394,0.2786428658639235
506,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,SPR,3.2305866326219,0.07411418735229734
507,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,fastARG,per site,retained,unrooted,path,17.250971110531793,0.3162023684133029
509,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,rooted,KC,10.004169707010316,0.18265142827394873
510,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,rooted,RF,9.737401128489944,0.2027368570788673
512,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,RF,8.933843296345586,0.20220014464795452
513,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,SPR,2.7061554700480186,0.05137651425775823
514,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,broken,unrooted,path,14.481323923997293,0.23391547887143896
516,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,rooted,KC,9.339553098197031,0.15680925586597683
520,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,unrooted,SPR,2.4882930530405467,0.09598126848083847
521,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0,tsinfer,per site,retained,unrooted,path,15.500841623927773,0.24615772726832147
523,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,rooted,KC,9.235483911444444,0.2984938241143691
524,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,rooted,RF,8.390946296296297,0.3215114215684585
526,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,RF,7.58214674074074,0.328184584051161
527,5000,100000,16,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,0.01,ARGweaver,per site,retained,unrooted,SPR,2.3914342962962967,0.08943476698337086
