Unnamed: 0,Unnamed: 0.1,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,ts_filesize,vcf_filesize,vcfgz_filesize,tsinfer_completed,tsinfer_cputime,tsinfer_var_polytomy,tsinfer_edges,tsinfer_memory,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_ts_filesize,internal_nodes,internal_nodes_with_mutations
24,24,0,45000,5000,50000000,5e-09,1e-08,0,291167,52902,112198,462359148,16646028,10101263422,279786085,True,55132.91,740.0457404056599,275846.0,6079991808.0,6479.0,4.805763166605691,16498716.0,82529,28988
25,25,0,45000,5000,50000000,1e-08,1e-08,0,495636,106683,113986,418086302,24107772,10262234977,285776124,True,60898.59,1459.5201345770465,406093.0,6501134336.0,10354.0,5.484259997028913,21137716.0,117979,38663
26,26,0,45000,5000,50000000,2e-08,1e-08,0,898263,212380,112836,316767138,38580676,10158701699,287014043,True,63911.2,2683.224907431233,582118.0,6405722112.0,15243.0,6.672604309949564,27041116.0,186001,50094
27,27,0,50000,5000,5000000,5e-09,1e-08,0,120223,5307,11030,570841540,6773116,1103545561,28191935,True,2001.85,290.8863919330556,73638.0,640778240.0,641.0,9.68284023668639,4986284.0,54266,4584
28,28,0,50000,5000,10000000,5e-09,1e-08,0,141465,10921,23030,358116354,8008748,2303881265,65256844,True,5676.96,177.16757096632602,96234.0,1163460608.0,1235.0,6.832374866879658,6344876.0,58428,8129
29,29,0,50000,5000,15000000,5e-09,1e-08,0,161455,16188,34107,1974001566,9163324,3411903258,96164236,True,10017.29,214.88215778886,118561.0,1724719104.0,1905.0,5.94857257538508,7642740.0,62343,11011
30,30,0,50000,5000,20000000,5e-09,1e-08,0,182328,21585,44934,1553621901,10332828,4494917442,121819089,True,14397.81,297.9496045548122,141668.0,2305503232.0,2645.0,5.538449509363151,8950780.0,66100,14218
31,31,0,50000,5000,25000000,5e-09,1e-08,0,200444,26417,56340,667719760,11430052,5635847936,153947648,True,20952.85,329.2018040040681,164138.0,2973462528.0,3112.0,5.2774098128737705,10258604.0,69603,16933
32,32,0,50000,5000,30000000,5e-09,1e-08,0,222763,32221,68774,667699277,12713004,6879608395,189204134,True,29338.09,454.75792900916633,189372.0,3703459840.0,4050.0,5.096124865446717,11708844.0,73613,19846
33,33,0,50000,5000,35000000,5e-09,1e-08,0,242846,37641,79764,134906351,13860964,7978927537,222301000,True,33706.329999999994,530.4264813481522,211907.0,4411138048.0,4692.0,4.9909793207404975,12996732.0,77267,22439
