,EAS,EUR,AFR,AMR,SAS,left,right
65336,0.44493392070484583,0.03744493392070485,0.3215859030837005,0.022026431718061675,0.17400881057268724,6763102.0,6763257.0
65337,0.45494505494505494,0.03736263736263736,0.3098901098901099,0.024175824175824177,0.17362637362637362,6763257.0,6763273.0
65338,0.45295404814004375,0.037199124726477024,0.31291028446389496,0.024070021881838072,0.17286652078774617,6763273.0,6763418.0
65339,0.4559471365638767,0.03744493392070485,0.30837004405286345,0.024229074889867842,0.17400881057268724,6763418.0,6763535.0
65340,0.4539473684210526,0.03728070175438596,0.3114035087719298,0.02412280701754386,0.1732456140350877,6763535.0,6763583.0
65342,0.4376321353065539,0.03805496828752643,0.331923890063425,0.025369978858350954,0.16701902748414377,6763829.0,6764252.0
65343,0.4364406779661017,0.038135593220338986,0.3326271186440678,0.025423728813559324,0.1673728813559322,6764252.0,6764460.0
65348,0.4143646408839779,0.03591160220994475,0.4005524861878453,0.03314917127071823,0.11602209944751381,6764710.0,6764726.0
65350,0.4126547455295736,0.03576341127922971,0.4016506189821183,0.0343878954607978,0.1155433287482806,6764764.0,6764878.0
65353,0.0,0.0,1.0,0.0,0.0,6765462.0,6765476.0
65442,0.0,0.06666666666666667,0.8,0.06666666666666667,0.06666666666666667,6773370.0,6773421.0
65443,0.0,0.0,1.0,0.0,0.0,6773421.0,6773579.0
65793,0.0,0.0,0.5,0.5,0.0,6807197.0,6807276.0
65859,0.0,0.0,1.0,0.0,0.0,6811898.0,6812264.0
66242,0.0,0.0,0.9428571428571428,0.05714285714285714,0.0,6847532.0,6847540.0
66252,0.0,0.0,0.9295774647887324,0.07042253521126761,0.0,6848628.0,6848737.0
66259,0.0,0.0,0.9428571428571428,0.05714285714285714,0.0,6849359.0,6849362.0
66261,0.0,0.0,0.9420289855072463,0.057971014492753624,0.0,6849414.0,6849429.0
66269,0.0,0.0,0.9428571428571428,0.05714285714285714,0.0,6850024.0,6850231.0
66294,0.0,0.0,0.943661971830986,0.056338028169014086,0.0,6852904.0,6853050.0
66299,0.0,0.0,0.953125,0.046875,0.0,6853448.0,6853484.0
66302,0.0,0.0,0.9454545454545454,0.05454545454545454,0.0,6853876.0,6854016.0
66315,0.0,0.0,0.918918918918919,0.08108108108108109,0.0,6855401.0,6855421.0
66319,0.0,0.0,0.9142857142857143,0.08571428571428572,0.0,6856316.0,6856414.0
66323,0.0,0.0,0.9393939393939394,0.06060606060606061,0.0,6856546.0,6856677.0
66342,0.2067490494296578,0.30038022813688214,0.05085551330798479,0.17300380228136883,0.26901140684410646,6857869.0,6857879.0
66346,0.0,0.0,0.8333333333333333,0.16666666666666666,0.0,6858130.0,6858256.0
66347,0.0,0.0,0.8,0.2,0.0,6858256.0,6858261.0
66351,0.0,0.0,0.5,0.5,0.0,6858869.0,6858914.0
66354,0.0,0.0,1.0,0.0,0.0,6858994.0,6859001.0
66355,0.25572519083969464,0.227735368956743,0.13155216284987278,0.1465648854961832,0.23842239185750635,6859001.0,6859028.0
66358,0.2537200504413619,0.22648171500630518,0.13316519546027744,0.1493064312736444,0.23732660781841108,6859095.0,6859177.0
66359,0.0,0.0,1.0,0.0,0.0,6859177.0,6859197.0
66426,0.2222222222222222,0.0,0.7777777777777777,0.0,0.0,6864277.0,6864518.0
66439,0.0,0.0,1.0,0.0,0.0,6865267.0,6865324.0
