Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,RentPlus_completed,ARGweaver_completed,tsinfer_completed,fastARG_completed,tsinfer_memory,tsinfer_0_wRFunrooted,tsinfer_0_RFrooted,tsinfer_2_wRFrooted,tsinfer_max_polytomy,tsinfer_0_KCrooted,tsinfer_2_RFrooted,tsinfer_0_pathunrooted,tsinfer_2_SPRunrooted,tsinfer_2_KCrooted,tsinfer_2_wRFunrooted,tsinfer_0_SPRunrooted,tsinfer_2_RFunrooted,tsinfer_mean_polytomy,tsinfer_0_RFunrooted,tsinfer_2_pathunrooted,tsinfer_0_wRFrooted,tsinfer_ts_filesize,tsinfer_var_polytomy,tsinfer_cputime,tsinfer_edges,RentPlus_0_SPRunrooted,RentPlus_0_wRFrooted,RentPlus_0_RFrooted,RentPlus_0_wRFunrooted,RentPlus_memory,RentPlus_0_pathunrooted,RentPlus_0_KCrooted,RentPlus_cputime,RentPlus_0_RFunrooted,fastARG_edges,fastARG_0_RFunrooted,fastARG_0_wRFrooted,fastARG_0_KCrooted,fastARG_cputime,fastARG_0_RFrooted,fastARG_0_pathunrooted,fastARG_0_SPRunrooted,fastARG_memory,fastARG_ts_filesize,fastARG_0_wRFunrooted,ARGweaver_edges,ARGweaver_0_RFunrooted,ARGweaver_0_pathunrooted,ARGweaver_iterations,ARGweaver_memory,ARGweaver_0_SPRunrooted,ARGweaver_0_KCrooted,ARGweaver_cputime,ARGweaver_0_wRFrooted,ARGweaver_0_RFrooted,ARGweaver_0_wRFunrooted,ARGweaver_ts_filesize
0,0,16,5000,100000,1e-08,4.999999999999999e-09,0,182,49,22,808716224,True,True,True,True,57593856.0,56106.08775724066,14.880772715516311,56106.581231329226,9.0,13.109875681087672,17.498960689033165,24.223114666850854,4.15297462806071,15.833501309251805,56106.087757240646,,16.139929449552753,4.176470588235294,13.739347493215153,21.29462027663569,56106.581231329226,10364.0,4.615916955017301,0.9,71.0,3.93288,,16.04612,,67715072.0,19.731942704033894,14.65520489583215,0.71,13.78082,76.0,15.09101203762872,55747.30717664374,16.967149208985386,0.0,17.527003466228386,20.900992942287246,4.144339929858628,2088960.0,8780.0,55740.96797752338,204.1,16.963578000000002,21.735852927135404,"0,20,40,60,80,100,120,140,160,180",186466304.0,4.307323,15.393647259230086,3123.86,71289.37776529981,18.817414000000007,71087.77832251768,12986.4
1,0,16,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,182,49,22,808716224,True,True,True,True,58048512.0,56096.70007119201,15.948935752667241,56097.38134059402,10.0,15.640182766624957,18.93162920103251,26.14658111723993,4.517380693983919,19.015488585716128,56096.70007119201,,17.758209201032507,4.0,14.835686239376011,24.899552787311247,56097.381340594024,10252.0,5.411764705882354,1.0,68.0,3.93288,,16.04612,,69685248.0,19.731942704033894,14.65520489583215,0.7,13.78082,82.0,17.597716489048953,55745.900464080594,16.910947201067895,0.0,19.98477640944916,23.09697865716317,4.955541774372854,2027520.0,9068.0,55743.06664360049,234.8,16.494729999999997,21.477910477589003,"0,20,40,60,80,100,120,140,160,180",197382144.0,4.173038,16.93978812459076,3073.67,75201.72941684525,18.532302,74971.13894204353,14141.6
2,0,16,5000,100000,1e-08,1.4898859031336945e-08,0,208,56,87,1137898847,True,True,True,True,58355712.0,64529.09041075747,12.198214560567214,64530.677034713895,11.0,11.78674523823142,13.167259592299555,19.083677616210306,3.2777915438757432,12.990221796827395,64529.09041075747,,11.948196298367732,3.75,10.99706658868655,18.48191276235964,64530.67703471387,13708.0,5.1875,1.12,90.0,2.97407,,12.84648,,93003776.0,17.536981860752284,12.3597662429193,1.3800000000000001,11.73056,87.0,9.460193987257053,64192.414843703635,15.261738239017653,0.0,12.202779729020044,15.755199472503008,2.5847195162300958,2080768.0,11868.0,64184.73692569447,221.2,12.041392,18.048408525694352,"0,20,40,60,80,100,120,140,160,180",179712000.0,3.249255,13.087952076451876,2877.68,57223.82010448883,13.209092000000002,56526.033924984535,13738.4
3,0,16,5000,100000,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,208,56,87,1137898847,True,True,True,True,57606144.0,64526.51548013585,13.40495350602066,64528.93741021921,16.0,12.427703912813561,15.596567105546045,21.241099908064367,3.9065843111443264,14.985677425853071,64526.51548013584,,14.237001157006125,4.161290322580645,12.085395021917961,19.918830089391086,64528.9374102192,15148.0,7.812695109261187,1.02,129.0,2.81543,,12.68918,,88649728.0,17.626959395874458,12.490688003379447,1.51,11.61606,147.0,12.241299931898348,64065.77199821992,17.257647946504164,0.0,14.376144626549484,19.310086058755825,2.9103094289391858,2060288.0,14284.0,64056.24288977001,253.8,14.322534,20.676766398369587,"0,20,40,60,80,100,120,140,160,180",203284480.0,3.5701419999999997,14.26862879866341,2469.25,66680.16397539576,15.61664,65410.219302657606,14946.4
4,0,16,5000,100000,1e-08,4.439520008713e-08,0,177,47,283,716355064,True,True,True,True,58011648.0,61627.28589416091,9.410628876510255,61628.3855416804,13.0,9.690803349264886,9.647130061024363,14.737487142309387,2.3396165613548168,9.52974558732348,61627.2858941609,2.242248862555244,8.974756651868542,3.5555555555555562,8.753547409345204,14.532857411361706,61628.38554168043,23060.0,7.1913580246913575,1.24,128.0,2.37555,,8.75052,,206942208.0,13.132690442920827,8.151365667840356,3.71,8.07964,99.0,8.20834361384183,61186.33777523709,11.347236627750409,0.0,9.785131733122011,14.506487151834301,2.32368557776036,2084864.0,20140.0,61183.740686444056,203.2,7.771801999999999,13.33856676063542,"0,20,40,60,80,100,120,140,160,180",201859072.0,2.2745610000000003,8.449228753948894,3117.86,38404.85848723494,8.39301,38135.69489113971,13031.2
5,0,16,5000,100000,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,177,47,283,716355064,True,True,True,True,58224640.0,61623.57047362884,11.77023293822539,61624.26861014093,23.0,10.213743215610153,12.905835427134926,19.490643847588032,2.9035306548661355,10.611578411469717,61623.57047362883,2.3455096048625355,12.067120972240215,4.5,10.998352302746854,17.697698922594906,61624.26861014093,27508.0,16.607142857142858,0.99,252.0,2.57539,,10.0045,,198320128.0,14.324141356231554,8.643533602653905,3.6100000000000003,9.43332,250.0,15.82384051121003,60782.55579156744,18.056896887779274,0.0,18.50295054386812,23.402296410220195,4.182212746082556,2068480.0,25980.0,60777.46088954582,254.6,11.95662,17.375191620508424,"0,20,40,60,80,100,120,140,160,180",175648768.0,3.3295470000000003,10.628589610370623,3179.9,43101.391617712674,12.709258,42874.80497975701,15018.4
6,0,16,5000,100000,1e-08,1.3228756555322952e-07,0,221,61,836,309401769,True,True,True,True,59035648.0,66227.01155642273,4.34109486533045,66228.26324834037,22.0,8.433126911335055,4.670339716110447,10.819491484780428,1.2896924189128258,8.480336861956285,66227.0115564227,0.997771761603086,4.238646542223655,3.602739726027397,3.9182295173208894,10.225848602710382,66228.26324834039,50412.0,12.51341715143554,1.19,263.0,1.16793,,3.93992,,422682624.0,8.152413725765186,6.391516931556943,6.75,3.51512,209.0,5.415828515144293,65404.674054813135,11.820791576747437,0.0,7.39064850015465,11.867798251803071,1.714332051005907,2150400.0,46548.0,65396.92100911327,248.6,3.798474,8.990493129078311,"0,20,40,60,80,100,120,140,160,180",157507584.0,1.2355040000000002,6.183107074530642,2487.91,28127.34896845213,4.1052,27966.86201343724,14799.2
7,0,16,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,221,61,836,309401769,True,True,True,True,58605568.0,66226.56626199534,7.314017013082756,66227.84746601414,67.0,9.866248160566846,8.162058825567263,14.929369165654506,2.190891667616245,10.279699832690168,66226.56626199534,1.221650340628572,7.536324757336253,4.685897435897437,6.738408040491124,13.449234225521549,66227.84746601415,67332.0,45.07441650230111,1.24,731.0,1.93324,,6.52318,,370143232.0,12.185207614024886,8.736379051814884,7.02,6.13762,808.0,11.949862491254196,64248.428524854025,15.249515470220953,0.02,14.184318274258375,17.9049893833795,3.298238854757064,2150400.0,69772.0,64231.0640051221,331.0,5.811876,10.61475939990206,"0,20,40,60,80,100,120,140,160,180",160821248.0,1.7236090000000002,7.239420805699861,2839.6400000000012,34449.33502705462,6.227404,34184.2523000467,17914.4
8,0,16,5000,100000,1e-08,3.941867581552624e-07,0,148,41,2338,429519779,True,True,True,True,58998784.0,59179.84506144003,4.029753317781468,59181.459091961835,16.0,3.6930768361812683,4.047956306524723,8.054522736683367,1.5027916414145657,3.716991800446705,59179.84506144003,1.468380904175893,3.8076647167416153,3.341463414634146,3.789461727998362,8.04220667791701,59181.45909196183,105700.0,8.468768590124926,1.26,137.0,1.27239,,3.73242,,736927744.0,7.3179481836195945,4.942802577909508,15.63,3.09758,138.0,3.675548053148263,58579.595714319265,10.970352701276042,0.01,6.129464290843588,8.174475243854857,1.4359713516005919,2203648.0,103836.0,58568.98121592568,152.8,2.3324480000000003,5.795812515155897,"0,20,40,60,80,100,120,140,160,180",182816768.0,0.9079309999999999,4.169457523632055,2189.71,14945.549438437707,2.381954,14884.17257094505,11050.4
9,0,16,5000,100000,1e-08,3.941867581552624e-07,EmpiricalErrorPlatinum1000G,148,41,2338,429519779,True,True,True,True,60067840.0,59182.53220391851,5.8848066306501385,59183.30425066327,101.0,5.229081109624985,6.683428019214065,11.12645154351729,2.3090523851564075,5.721664229117423,59182.53220391851,2.03853467240034,6.263178819522016,5.341708542713568,5.4767760139166235,10.934214485047132,59183.30425066327,139060.0,119.13951667887177,1.5,1063.0,2.73017,,8.08902,,725671936.0,11.99534363704159,7.487462719694514,11.72,7.33774,1159.0,8.978643340196255,55765.31416972082,11.368310722284978,0.06,10.812881772233178,13.418848742522798,2.882465254623891,2183168.0,143388.0,55761.747260797616,171.8,3.229276,7.483808126183679,"0,20,40,60,80,100,120,140,160,180",184401920.0,1.404069,4.525919158982091,2459.57,14918.785446442776,3.421272,14784.667660145557,11829.6
