,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
70,5000,100000,200,1e-08,1.4898859031336945e-08,0,tsinfer,per site,broken,unrooted,path,672.5858499983106,23.182556351388154
72,5000,100000,200,1e-08,1.4898859031336945e-08,0,tsinfer,per site,retained,rooted,KC,222.20865436149296,6.464131758223843
76,5000,100000,200,1e-08,1.4898859031336945e-08,0,tsinfer,per site,retained,unrooted,path,1076.7950427745607,26.067897855382306
78,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,345.45963566968317,7.119797261337878
79,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,322.1726439374519,2.7133727845294584
81,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,320.4102228806872,2.7089580552972747
82,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,72.2858342792355,0.6366733677157081
83,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,821.1115683517393,15.843506395680745
85,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,250.84468311907025,4.1370083818624765
89,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,842.9575710180114,16.946455596008477
91,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,370.03479249858435,11.912536844296277
92,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,322.44582087067926,2.195887304979404
94,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,320.7769818341335,2.1985345279149615
95,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,71.94917218832265,0.6074885627499281
96,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,828.6747166059706,16.22953143223724
98,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,229.99357072716808,4.556724341015058
102,5000,100000,200,1e-08,1.4898859031336945e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,1004.4890456321106,19.010974401981038
104,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,broken,rooted,KC,187.17161740502416,4.181417745459531
105,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,broken,rooted,RF,216.0923065931983,2.9282977216715396
107,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,broken,unrooted,RF,215.1271240991379,2.9336401529175893
108,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,broken,unrooted,SPR,51.891901581959,0.6444019756111725
109,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,broken,unrooted,path,498.45774100138397,7.435522706582962
111,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,retained,rooted,KC,168.7160144143247,3.7770940788771235
115,5000,100000,200,1e-08,4.439520008713e-08,0,argentum,per site,retained,unrooted,path,658.0105164361692,14.239663926913309
117,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,rooted,KC,172.39525607922755,4.577222049971514
118,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,rooted,RF,213.83185901451614,2.9682867447546606
120,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,RF,212.97146285044184,2.9794920297499115
121,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,SPR,52.09942248605763,0.5400165450360371
122,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,broken,unrooted,path,463.4839974755018,8.911117912626967
124,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,rooted,KC,156.0439474758699,4.385865143710361
128,5000,100000,200,1e-08,4.439520008713e-08,0,tsinfer,per site,retained,unrooted,path,738.2086631033238,17.534744364466444
130,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,300.2632001016581,6.557643744492034
131,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,304.1831838939151,3.1352069142414964
133,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,302.6124304677845,3.133031615535172
134,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,68.76792681707461,0.7093555558758208
135,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,766.9561260153175,17.119655156925248
137,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,228.31411011023852,4.814814144280793
141,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,614.0600773417458,7.443896482484171
143,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,281.1544633720781,6.792389641028114
144,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,285.2508842450599,2.5382141573634973
146,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,283.78333493539526,2.5378554959195867
147,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,65.04270134405407,0.5620856468354567
148,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,723.3289750935269,14.145424584065413
150,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,192.338388387691,3.7250559160499996
154,5000,100000,200,1e-08,4.439520008713e-08,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,721.8006567475755,14.203987966858758
156,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,broken,rooted,KC,124.48679663923494,2.65303372994764
157,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,broken,rooted,RF,138.5023193886186,2.3847447399442103
159,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,broken,unrooted,RF,138.0271779920245,2.384738104755581
160,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,broken,unrooted,SPR,38.412691550024576,0.47409915195432467
161,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,broken,unrooted,path,345.909655694709,5.409632888775686
163,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,retained,rooted,KC,117.42490405762621,2.7281226743341223
167,5000,100000,200,1e-08,1.3228756555322952e-07,0,argentum,per site,retained,unrooted,path,454.68284257060424,12.229970623008004
169,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,rooted,KC,119.04515454738738,4.291254569006096
170,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,rooted,RF,132.8003833909888,2.902537202462327
172,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,RF,132.3018710622835,2.9033893852710313
173,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,SPR,37.200177124336136,0.730540063475115
174,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,broken,unrooted,path,326.12123091574813,7.41883423590559
176,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,rooted,KC,113.64171613187595,3.9557501768168737
180,5000,100000,200,1e-08,1.3228756555322952e-07,0,tsinfer,per site,retained,unrooted,path,478.9657055985174,14.986391608135934
182,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,KC,282.1652971044698,4.85660555376978
183,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,rooted,RF,297.91997054610545,4.106373467419953
185,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,RF,296.49615602219643,4.102784236338177
186,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,SPR,68.12109815827394,0.9473345353015662
187,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,broken,unrooted,path,730.5129080102314,12.21528567651269
189,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,retained,rooted,KC,222.03401189023788,3.66107642699432
193,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,argentum,per site,retained,unrooted,path,578.1176273481079,7.240435053812091
195,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,242.2940528275147,6.183346212961219
196,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,259.64994511416853,2.7067422536696477
198,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,258.3052474887461,2.694538003987951
199,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,61.486170808010094,0.5577809059197805
200,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,666.6243409105446,17.488640579186843
202,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,168.7741891940222,3.8519726020989666
206,5000,100000,200,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,532.1617070034824,6.831169096531661
208,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,broken,rooted,KC,82.53337251774413,2.7502678089195385
209,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,broken,rooted,RF,69.93433173760516,1.8267467383164813
211,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,broken,unrooted,RF,69.68284566533363,1.830396041909265
212,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,broken,unrooted,SPR,22.859386983513637,0.46898307073125806
213,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,broken,unrooted,path,229.31187366866638,3.9454665603955603
215,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,retained,rooted,KC,80.90164421686737,2.7478038796324564
219,5000,100000,200,1e-08,3.941867581552624e-07,0,argentum,per site,retained,unrooted,path,284.2360191775932,6.113558963932526
221,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,broken,rooted,KC,77.2605108427095,3.351903652965367
222,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,broken,rooted,RF,72.26038410456844,2.4959578302383
224,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,broken,unrooted,RF,72.0619006533217,2.5004621100367936
225,5000,100000,200,1e-08,3.941867581552624e-07,0,tsinfer,per site,broken,unrooted,SPR,24.39156770019633,0.7243336676549361
