,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomies,rooting,metric,treedist_mean,treedist_se
58,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,19.07630943422044,0.13255300889471383
62,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,34.18468581297421,0.3348919642473005
64,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,retained,rooted,KC,20.243233993728147,0.1843644392189916
65,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,retained,rooted,RF,22.057788550000005,0.23925744485933895
67,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,retained,unrooted,RF,20.14369378,0.23993795875903487
68,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,retained,unrooted,SPR,4.924110517499999,0.052822651292718806
69,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,retained,unrooted,path,27.22811611063503,0.2314849736376476
71,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,retained,rooted,KC,20.423225875865615,0.18304188387452222
72,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,retained,rooted,RF,20.572003900000006,0.17446447004483445
73,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,retained,unrooted,RF,18.534808650000006,0.17507065679101813
74,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,retained,unrooted,SPR,4.5890527699999994,0.039465691759185365
75,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,retained,unrooted,path,25.604569143447417,0.1801361155508247
76,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,retained,rooted,KC,19.877313562895807,0.14381454768288404
77,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,retained,rooted,RF,21.41521498627666,0.18697571270085678
79,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,retained,unrooted,RF,19.28022127547048,0.18924874741521505
80,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,retained,unrooted,SPR,4.754026354813432,0.04206390098275316
81,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,retained,unrooted,path,25.61542864600419,0.18883339154908024
83,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,broken,rooted,KC,23.201904147200576,0.2586284736046262
84,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,broken,rooted,RF,21.73015249332069,0.16416630632503076
86,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,broken,unrooted,RF,19.699415485696097,0.16406350597344266
87,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,broken,unrooted,SPR,4.863378795259614,0.03502182575518363
88,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,broken,unrooted,path,26.88663336156195,0.18911296026671637
90,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,retained,rooted,KC,18.43300100403767,0.1503318001632766
94,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,retained,unrooted,SPR,4.059800295085927,0.4937090590141525
95,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,retained,unrooted,path,28.643351295733368,0.18438370742158416
97,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,20.28671617243256,0.19704338617965877
98,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,22.621923570731706,0.2136693592384008
100,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,20.69533168292683,0.21298655019709328
101,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,5.071921999999999,0.04490440423611397
102,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,27.420765497223993,0.24522399819675308
104,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,20.581990758408015,0.17154549478073555
105,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,20.855114790000002,0.1591312338054961
106,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,RF,18.82586987,0.15926072503221497
107,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,SPR,4.648477815,0.035561858694782955
108,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,unrooted,path,25.843206136391565,0.17060325041889968
109,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,KC,20.061859755232433,0.17023801708460973
110,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,rooted,RF,21.80006661112442,0.15728407054900856
112,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,RF,19.682839948159824,0.1548579126797148
113,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,SPR,4.8367479417715,0.03535710691406217
114,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,retained,unrooted,path,26.20460754663511,0.177789257417933
116,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,KC,23.521834864990797,0.25434756040666484
117,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,rooted,RF,22.047264951865987,0.1483725826270235
119,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,RF,20.018433887784294,0.1485065194990534
120,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,SPR,4.918209162926472,0.032176668751107224
121,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,broken,unrooted,path,27.190299640778935,0.16921102395947984
123,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,rooted,KC,18.489190701587532,0.14280496460568842
127,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,SPR,4.2322848601605285,0.5686080095397706
128,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,retained,unrooted,path,28.979799868317027,0.1785957974313849
130,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,retained,rooted,KC,16.41355624677821,0.130704379910189
131,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,retained,rooted,RF,17.16709222439024,0.2116047829672013
133,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,retained,unrooted,RF,15.489522180487809,0.2089027954033651
134,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,retained,unrooted,SPR,4.002156960975611,0.047898517579781974
135,5000,1000000,16,1e-08,2.714417616594907e-09,0,ARGweaver,per site,retained,unrooted,path,21.855050923043194,0.18055048938693322
137,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,retained,rooted,KC,16.630296221236787,0.09323753449007827
138,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,retained,rooted,RF,15.777937839999995,0.1523502610832203
139,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,retained,unrooted,RF,13.926557870000005,0.15300635251072917
140,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,retained,unrooted,SPR,3.652174220000001,0.038054942626323106
141,5000,1000000,16,1e-08,2.714417616594907e-09,0,RentPlus,per site,retained,unrooted,path,20.645052446012258,0.1361947629431652
142,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,retained,rooted,KC,18.075388766822748,0.12664516582600924
143,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,retained,rooted,RF,17.686758201130598,0.156201340495603
145,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,retained,unrooted,RF,15.472252781400282,0.1536189322605634
146,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,retained,unrooted,SPR,3.9980119236558807,0.03500083538556305
147,5000,1000000,16,1e-08,2.714417616594907e-09,0,fastARG,per site,retained,unrooted,path,21.834071018434614,0.1380322996081843
149,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,broken,rooted,KC,17.708450891068733,0.1388349156625345
150,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,broken,rooted,RF,16.953279021995513,0.1630845353784514
152,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,broken,unrooted,RF,15.179466459078121,0.16186736276591868
153,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,broken,unrooted,SPR,3.944342310575473,0.03758487821338939
154,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,broken,unrooted,path,21.657017441060763,0.15099938954800107
156,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,retained,rooted,KC,15.46785365271728,0.10525735345269008
160,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,retained,unrooted,SPR,3.4018852884618394,0.1098227922851011
161,5000,1000000,16,1e-08,2.714417616594907e-09,0,tsinfer,per site,retained,unrooted,path,23.025824766618765,0.18387130153625525
163,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,KC,17.00658876531188,0.16843107941334431
164,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,rooted,RF,18.083315094999996,0.23693376814869568
166,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,RF,16.379905304999998,0.23651185389765694
167,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,SPR,4.1915692149999995,0.052042945833682984
168,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,ARGweaver,per site,retained,unrooted,path,22.630659617254267,0.23375066342312423
170,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,KC,16.863301995573096,0.09977962396484803
171,5000,1000000,16,1e-08,2.714417616594907e-09,EmpiricalErrorPlatinum1000G,RentPlus,per site,retained,rooted,RF,16.206011540000002,0.15053517945681685
