"","freq","p00","p01","p02","p10","p11","p12","p20","p21","p22"
"4405",0.879593,0.636363636363636,0.0909090909090909,0.272727272727273,0,1,0,0,0.00845070422535211,0.991549295774648
"4406",0.879792,0.882352941176471,0,0.117647058823529,0.00833333333333333,0.958333333333333,0.0333333333333333,0,0.0026246719160105,0.99737532808399
"4407",0.879992,0.8,0,0.2,0,1,0,0,0,1
"4408",0.880192,0.6,0,0.4,0,0.987654320987654,0.0123456790123457,0,0.0026246719160105,0.99737532808399
"4409",0.880391,0.642857142857143,0,0.357142857142857,0,0.989583333333333,0.0104166666666667,0,0,1
"4410",0.880591,0.733333333333333,0.0666666666666667,0.2,0,1,0,0,0,1
"4411",0.880791,0.647058823529412,0.0588235294117647,0.294117647058824,0,1,0,0,0,1
"4412",0.88099,0.696969696969697,0.151515151515152,0.151515151515152,0,1,0,0,0,1
"4413",0.88119,0.789473684210526,0.0526315789473684,0.157894736842105,0,1,0,0,0.00280112044817927,0.997198879551821
"4414",0.88139,0.7,0,0.3,0,1,0,0,0,1
"4415",0.881589,0.8,0.0666666666666667,0.133333333333333,0,0.967391304347826,0.0326086956521739,0,0,1
"4416",0.881789,0.625,0.0625,0.3125,0,0.98780487804878,0.0121951219512195,0,0,1
"4417",0.881989,0.607142857142857,0.0357142857142857,0.357142857142857,0,0.974358974358974,0.0256410256410256,0,0,1
"4418",0.882188,0.714285714285714,0.0714285714285714,0.214285714285714,0,1,0,0,0.00207900207900208,0.997920997920998
"4419",0.882388,0.947368421052632,0,0.0526315789473684,0,0.98019801980198,0.0198019801980198,0,0,1
"4420",0.882588,0.285714285714286,0.285714285714286,0.428571428571429,0,0.990825688073395,0.00917431192660551,0,0,1
"4421",0.882788,0.6,0,0.4,0,1,0,0,0,1
"4422",0.882987,0.714285714285714,0.142857142857143,0.142857142857143,0,0.988636363636364,0.0113636363636364,0,0,1
"4423",0.883187,0.75,0,0.25,0,0.989473684210526,0.0105263157894737,0,0,1
"4424",0.883387,0.357142857142857,0.0714285714285714,0.571428571428571,0,1,0,0,0.00248138957816377,0.997518610421836
"4425",0.883586,0.461538461538462,0,0.538461538461538,0,1,0,0,0,1
"4426",0.883786,0.916666666666667,0,0.0833333333333333,0,1,0,0,0,1
"4427",0.883986,0.444444444444444,0.111111111111111,0.444444444444444,0,0.9625,0.0375,0,0,1
"4428",0.884185,0.6,0.2,0.2,0,0.985074626865672,0.0149253731343284,0,0.0022883295194508,0.997711670480549
