,ACB,ASW,BEB,CDX,CEU,CHB,CHS,CLM,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,MXL,PEL,PJL,PUR,STU,TSI,YRI,individual,population,region
0,0.019635430622383442,0.008597012800796446,0.02349093262966445,0.005522592002221753,0.11129155914884901,0.013277983118545307,0.007186282573159163,0.07453277974029775,0.001085668972220137,0.08495688643330626,0.13570977755801852,0.02893232820434068,0.003621297325850508,0.1281000565591166,0.024229006696887455,0.007544351398801882,0.011487696703519904,0.00298121906120955,0.0008841590385094619,0.025507268457549692,0.03678368454594943,0.03613658956054118,0.09041109272105004,0.02139528471705495,0.09589188748217424,0.0008071719279886995,HG00096,GBR,EUR
1,0.011557516041720955,0.01808916381044906,0.03110542568079361,0.006441554303980385,0.1372851124873271,0.005652685344351452,0.006437400568222461,0.06249375185952222,0.0011227436426026064,0.08772115903505726,0.14788897704882223,0.027574655974224645,0.0016666537417572883,0.1020877474690436,0.026395940266247673,0.007568901990960301,0.006744704216127729,0.006086662924290782,0.00237700004937822,0.0393954974941397,0.016068803884774458,0.03446577343546249,0.07427232906964876,0.032388385303452095,0.10462113506923575,0.00249031928840908,HG00096,GBR,EUR
2,0.02346830607803783,0.017265126595102036,0.021857629653663748,0.004305413021226219,0.15993621672230676,0.006003396325566601,0.0038801100980233147,0.04931605167060737,0.0008298260779890296,0.10227398104681985,0.1650071557243768,0.025863318050658227,0.001794788733847989,0.11279970584661769,0.01704128404154242,0.0040999301822193645,0.006126306894568715,0.0016743252112551565,0.0005139849421230613,0.062195684527563216,0.02066081420164287,0.028390834125133827,0.06659149346514254,0.01354106224294949,0.08363130225267332,0.0009319522683427029,HG00097,GBR,EUR
3,0.012520101943822826,0.03738653760611261,0.03755211027460885,0.00541476770566201,0.18227376061428205,0.006815390388668989,0.004895418810006707,0.06251650013183896,0.001025214651398501,0.11162952656428812,0.11459391657233288,0.027767539850700934,0.004411715507335908,0.1027089812621584,0.019100031878575036,0.005684520107592131,0.005694733407030923,0.002303761350342836,0.0015590918304664795,0.03955181468888968,0.020671847906531142,0.02968156019975491,0.06096855419670508,0.016431540867868983,0.0855712881929351,0.0012697734900857945,HG00097,GBR,EUR
4,0.016603956231486264,0.010878317242970796,0.014485145541780974,0.0036776646419065394,0.12691008073298576,0.004709822232912045,0.004647652178556053,0.06697473206016892,0.002638073290730908,0.10450682105750389,0.1660361895097529,0.025128509376888368,0.0025910885733124067,0.12240954544738424,0.023525458693746483,0.003987859681191429,0.005597137266932469,0.002983586833150082,0.001723199377798853,0.022323090830261037,0.013062359996903628,0.03638684852278524,0.0857931501291738,0.02813770143783509,0.10212584456671668,0.0021561645451675616,HG00099,GBR,EUR
5,0.012233898784966942,0.009933960259133788,0.022251811364265333,0.0053230938854494664,0.12602218314717892,0.006736841435144486,0.005492483655098616,0.07156872906155243,0.0010865696155078223,0.11634323353853722,0.15440338170371634,0.02621383749224854,0.010657226195729836,0.1368857272287424,0.027673641176257768,0.005142336420970809,0.005452498261789707,0.0020912434345062153,0.0008651930482756152,0.023488335223757276,0.02220686918016985,0.027119245462327708,0.08023863755213845,0.021132007277824428,0.07819832384798639,0.001238691746717558,HG00099,GBR,EUR
6,0.010579574293593887,0.02079997269359241,0.023914705549544325,0.0036933655462836573,0.1044880169937964,0.004437153386326489,0.004041028470266588,0.05239413128475984,0.0010648238071522497,0.07854614757643646,0.3146120689826651,0.025704090208331434,0.002130779897293809,0.07601564024509935,0.0151649575413864,0.00529646018105421,0.004522227939001721,0.002500706564611754,0.0018408998202173613,0.03793496670421106,0.019167880782108546,0.01716545806943311,0.069958103788187,0.016894877629935242,0.08619688639580118,0.0009350756489151296,HG00100,GBR,EUR
7,0.02480388045620929,0.008218201577950517,0.02052519469497002,0.005135234585237321,0.09281298400726926,0.005764228485696302,0.007801857855644642,0.04715638541760618,0.0008912282614723853,0.08912550951960176,0.3146036499457721,0.01972954490903252,0.0020609972539564897,0.10010682503426059,0.012443343795264352,0.003293863602078772,0.004384011061820181,0.0021564873978529944,0.0011929006361827688,0.033608204940237,0.013660345847266003,0.02394686140602662,0.060097994724233945,0.014836074873671235,0.08989061105536321,0.0017535786553264953,HG00100,GBR,EUR
8,0.023632932277734407,0.004321105219222495,0.019636686959779746,0.00399696275884947,0.1030439695351396,0.005259966248359632,0.0037933387573774006,0.0474502551494941,0.0009457056385135386,0.12560908267611234,0.3589660517660789,0.019235468011806235,0.0019330757335155966,0.06929831215056537,0.014759693456125727,0.005123801877243776,0.005158546819703729,0.001609230005822913,0.0010514668938823501,0.0345987903576519,0.01650072776134923,0.023925795160914892,0.03482944824024853,0.010361358863115266,0.06401425627875627,0.0009439714026416764,HG00101,GBR,EUR
9,0.02276185855223933,0.01292576597698611,0.018096261279453265,0.006347817917601754,0.12559350841588268,0.00964137461910805,0.006014155557588157,0.06837209365620076,0.0009150154725386222,0.10941650979298605,0.18866435042996724,0.019674186427991208,0.001466025252931569,0.08221746979072404,0.014023588465520273,0.007150813942920191,0.005086374937875357,0.002408958025347976,0.0009162299063259961,0.036548064208811855,0.03475103503790634,0.02917385937445186,0.0796898458520856,0.016181217461468823,0.10126079292893361,0.0007028267161551036,HG00101,GBR,EUR
