,compressed,sample_size,uncompressed
0,0.006325753405690193,10,0.008683464489877224
1,0.015211546793580055,100,0.01940112840384245
2,0.024861933663487434,1000,0.030283506028354168
3,0.03468925505876541,10000,0.04202539473772049
4,0.04795753210783005,100000,0.059173659421503544
5,0.08061839547008276,1000000,0.13198973517864943
