,Ne,length,sample_size,recombination_rate,mutation_rate,error_param,tool,averaging,polytomy_treatment,rooting,metric,treedist_mean,treedist_se
44,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,KC,21.364912500919722,0.23936828361172352
45,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,RF,23.90209840680628,0.19856276376648865
46,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,rooted,wRF,65810.93165051044,511.948533442043
47,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,RF,21.824246084055147,0.19862548635710336
48,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,SPR,5.275518560233978,0.04670480838410633
49,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,path,28.73401481520326,0.2485603708494346
50,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,fastARG,per site,,unrooted,wRF,65809.52746756407,511.93434737525905
51,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,KC,19.07630943422044,0.13255300889471383
52,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,RF,18.351313557670757,0.1217459282203073
53,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,rooted,wRF,66119.82465724972,512.6812846864632
54,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,RF,16.93773328958307,0.11805827491964382
55,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,path,34.18468581297421,0.33489196424730044
56,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,,unrooted,wRF,66119.0306400251,512.6899382379346
57,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,rooted,KC,27.15939229680141,0.36135325629888715
58,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,rooted,RF,24.622483112915017,0.15677367477698548
59,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,rooted,wRF,66119.82465724972,512.6812846864631
60,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,RF,22.5524315739247,0.15569868899792605
61,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,SPR,5.419204920986241,0.034367192824782
62,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,path,30.738135246069596,0.2092442445816062
63,5000,1000000,16,1e-08,2.0000000000000003e-10,EmpiricalErrorPlatinum1000G,tsinfer,per site,breaking polytomies,unrooted,wRF,66119.0306400251,512.6899382379345
64,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,rooted,KC,20.310359118198274,0.239932345818758
65,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,rooted,RF,22.351198800000002,0.4027333766725724
66,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,rooted,wRF,99188.4985437191,1374.1377709752521
67,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,unrooted,RF,20.42394806666667,0.4004954634492527
68,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,unrooted,SPR,4.988499733333334,0.08866958280192717
69,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,unrooted,path,27.575731322882604,0.190425772378661
70,5000,1000000,16,1e-08,7.368062997280773e-10,0,ARGweaver,per site,,unrooted,wRF,98967.32324985771,1391.0902352916698
71,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,,rooted,KC,20.423225875865615,0.18304188387452222
72,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,,rooted,RF,20.572003900000006,0.17446447004483445
73,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,,unrooted,RF,18.534808650000006,0.17507065679101813
74,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,,unrooted,SPR,4.58905277,0.039465691759185365
75,5000,1000000,16,1e-08,7.368062997280773e-10,0,RentPlus,per site,,unrooted,path,25.604569143447417,0.1801361155508247
76,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,rooted,KC,19.877313562895807,0.14381454768288404
77,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,rooted,RF,21.41521498627666,0.18697571270085678
78,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,rooted,wRF,66202.22768052077,575.4104870952208
79,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,unrooted,RF,19.28022127547048,0.18924874741521502
80,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,unrooted,SPR,4.754026354813432,0.04206390098275316
81,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,unrooted,path,25.61542864600419,0.18883339154908027
82,5000,1000000,16,1e-08,7.368062997280773e-10,0,fastARG,per site,,unrooted,wRF,66198.76208547312,575.423874845586
83,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,rooted,KC,18.43300100403767,0.1503318001632766
84,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,rooted,RF,17.763454439230994,0.13947591675660406
85,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,rooted,wRF,66803.09054717037,579.715261919918
86,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,unrooted,RF,16.189208165583064,0.13742697952092292
87,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,unrooted,SPR,4.059800295085927,0.4937090590141527
88,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,unrooted,path,28.643351295733368,0.18438370742158416
89,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,,unrooted,wRF,66801.11943424215,579.7101009022861
90,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,rooted,KC,23.201904147200576,0.2586284736046262
91,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,rooted,RF,21.73015249332069,0.1641663063250308
92,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,rooted,wRF,66803.09054717037,579.7152619199179
93,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,unrooted,RF,19.699415485696097,0.16406350597344263
94,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,unrooted,SPR,4.863378795259614,0.03502182575518363
95,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,unrooted,path,26.88663336156195,0.18911296026671637
96,5000,1000000,16,1e-08,7.368062997280773e-10,0,tsinfer,per site,breaking polytomies,unrooted,wRF,66801.11943424215,579.7101009022858
97,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,KC,20.040978855991582,0.6584326308696886
98,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,RF,21.94235493333333,1.055413752916459
99,5000,1000000,16,1e-08,7.368062997280773e-10,EmpiricalErrorPlatinum1000G,ARGweaver,per site,,rooted,wRF,104149.53267599102,3664.5486618557566
