CentreName,CHB,JPT,CHS,CDX,KHV,CEU,TSI,FIN,GBR,IBS,YRI,LWK,GWD,MSL,ESN,ASW,ACB,MXL,PUR,CLM,PEL,GIH,PJL,BEB,STU,ITU
Barts,0.009832215375201273,0.009731523032926058,0.00988699988056818,0.008758927309707442,0.009991712263359574,0.12392437259353253,0.09192004313259587,0.10745949932790147,0.11418096562582532,0.10674955965959218,0.003335612878171732,0.0049833048526878665,0.005460484103482654,0.0029613454891695284,0.0030463696041905406,0.013022278598545038,0.015052306775133731,0.03112821458791924,0.07674701029896722,0.0652861742723995,0.02456771284461047,0.03703578931002404,0.03907323367170872,0.025937723877407868,0.029629945402296107,0.03029667523207684
Birmingham,0.009463772043826781,0.009326918216699696,0.009486528326251157,0.008424014678206347,0.009590991214361043,0.12627606881572798,0.0916644575970301,0.10980304746495315,0.11629275686125785,0.1069405719183455,0.0031298289923319795,0.004674845174488179,0.005185475828459111,0.0028153130774064114,0.0028787902025084766,0.01304343077037221,0.015311145235178066,0.030986050339969692,0.07652762965978974,0.06499603045076137,0.024414562364191716,0.036349769948685724,0.03847509272374445,0.025489690466495615,0.028994280958853775,0.02945893667010659
Bristol,0.009496843909704083,0.009364706386396825,0.009477497791383162,0.008449489991248121,0.009621980381210137,0.1260698856805671,0.09156388488244097,0.10942161685830311,0.11661581633992346,0.10707028973259569,0.0031711131417391674,0.004694037992661953,0.005237149259238739,0.0028527699963992385,0.0029154693542206085,0.01306319398937112,0.015227536226149585,0.030943894158926614,0.07661718524430267,0.06505422109064028,0.024358359311268677,0.0363613042185611,0.03840377031165245,0.02550930966816015,0.028963190373606104,0.029475483709331507
Bury,0.009435981059669864,0.009312466582150134,0.009455045641815013,0.00839500722529649,0.009581828684999344,0.12742963458339834,0.0914027593723848,0.10963756299669042,0.11653190123046278,0.10693712874703172,0.003127950892712318,0.004612963844353213,0.0052058606574212065,0.0028001884358097775,0.002855768745465625,0.013184888495290948,0.01523284175236429,0.03107905681991778,0.0762396776844669,0.06495089447727857,0.024359863082027894,0.03621488002769746,0.038352869707800157,0.025404565839775007,0.028909940048699193,0.029348473365021485
Cardiff,0.009472242999013565,0.009349930877851244,0.009488609579695804,0.00841172897961949,0.009629476922930355,0.12572620163515183,0.09163051007174698,0.10754405058762705,0.11675524925990935,0.1078806498733744,0.003102898810588723,0.004625210822597636,0.00519547537156189,0.0028039923102371133,0.002879744257646849,0.012919429089384444,0.015170905782191775,0.031164164308718195,0.0770914701295396,0.06561087875517156,0.024485358213003034,0.036459819659352286,0.038536450961149,0.025577223094666215,0.028895106330417843,0.029593221316854646
Croydon,0.009618545217637208,0.00947729757898917,0.009630014884504176,0.00857094226160105,0.009757494260058537,0.12523050015932083,0.09159332330721347,0.10892743063996518,0.1156490637998983,0.10690121117591064,0.003233201932345928,0.004811431966868946,0.005335355751313059,0.0029063452842061285,0.002980568300726514,0.013026770476167085,0.015173650534460353,0.031024170073812758,0.07674339906048067,0.06490465790849044,0.024508138548759537,0.036617857805387725,0.03867367931272581,0.02564006466733831,0.029251613042148253,0.029813272049671432
Edinburgh,0.009388668593213965,0.009205485637084192,0.009401788123931486,0.00840494157043736,0.009531874191046874,0.12639012191547272,0.09138009473906214,0.10754524887922398,0.11850489276922295,0.10757717029990004,0.003036381530076929,0.004543987073389126,0.005046725320862914,0.0027168548028615037,0.002782559885190165,0.01319407589619334,0.015025087099686222,0.031205374298705325,0.07666577939021452,0.06544909810922131,0.024496921996947932,0.0363912446958101,0.038521801363715816,0.02544545569636532,0.02876444957341136,0.029383916548750697
Glasgow,0.009386772148722479,0.009210894656052532,0.009387441456876311,0.008355267416566213,0.009470269577317713,0.12589736745090785,0.0913618689479103,0.10668324770061363,0.11888662208962904,0.10820706135788355,0.0029921775636954267,0.004522231805372707,0.004995757211467378,0.0027025632022942207,0.002744682296777697,0.01327093643192811,0.014972655164169214,0.03138588609162288,0.07686164651123381,0.06571463930469092,0.024570918940252463,0.03641422709458097,0.03858952665284551,0.025423804103079137,0.0286303220188115,0.029361212804699152
Hounslow,0.009618812444085974,0.0094759947263065,0.00965124313899923,0.008590367716362502,0.009767315747435291,0.12503354672440936,0.09162544714381715,0.10884868425690206,0.11551658743266267,0.10684095096426549,0.0032324856519675956,0.00481756758498878,0.005363023729140738,0.0029110284699748186,0.0029761869069278783,0.013019358410100415,0.015177822738389858,0.03103997026352152,0.07658354264970063,0.065167578663752,0.024476818014267803,0.03666342507060422,0.03873134214204197,0.02570237304515392,0.029322880502837607,0.02984564586138404
Leeds,0.009466622441662631,0.009326023993395521,0.009480065242320044,0.00843827670022753,0.00961718255012668,0.12706293373089592,0.09147176252723674,0.11027135337920636,0.11616858492996568,0.10681792306473811,0.0031346425373165194,0.0046547804485773826,0.005213275053243006,0.0028226300462490207,0.002877816803995351,0.013122732568764103,0.015278936869103652,0.030970565437300375,0.0763122024478055,0.0648704603500022,0.024365969951182245,0.03625729770128153,0.03827456277926967,0.025412839798051295,0.02895095284034444,0.029359605807743838
Liverpool,0.00949183817238112,0.009321455999396787,0.00949735595523184,0.008434968107279409,0.009588423113364481,0.12618287340325443,0.09150508358904669,0.10821008543317448,0.11705729089377578,0.10752269062595288,0.0031193125888540722,0.004595456918858606,0.005163215893662325,0.0028020180836941084,0.0028744093439064173,0.013125355911673632,0.015138997320434985,0.03119246541214768,0.07663177688895631,0.06549562683722791,0.02450080169927172,0.036400878547695165,0.038492407368200254,0.025473874301555826,0.028794356025657778,0.029386981565342408
Manchester,0.009529376426875909,0.009426323032114074,0.009535816517384298,0.008480813175082908,0.009638939653178646,0.1261505788703682,0.09164281558593755,0.10887189339289742,0.11618333755186008,0.10685084702652022,0.003169919575383533,0.0047244509197405665,0.005265750148942632,0.002836049430000158,0.002899163846063492,0.013001616668126216,0.015167022109591479,0.031094944042662023,0.07652847619598024,0.06508167412490153,0.024455712433584832,0.03650170391146325,0.03861031950996464,0.025602718751763096,0.029111927037202383,0.029637810062412777
Middlesborough,0.00944628071660029,0.009280309004451924,0.009419677495261436,0.008361454694384105,0.009532008954536646,0.12686427524999846,0.09129636366529033,0.10971545667424785,0.11683334460336459,0.10713454729687799,0.003098240781269179,0.004599716246442142,0.005136312261863738,0.0027708327515851786,0.002829716502798844,0.013123352155005446,0.015110267810522012,0.031036178427180688,0.07661937201857943,0.06512287198090733,0.024395650719593445,0.036318357503771506,0.038395204098246094,0.02539582132276177,0.028818244018264737,0.02934614304619462
Newcastle,0.00941622929719738,0.009274828808098856,0.009392212962068375,0.008379177319210193,0.009516477972111933,0.12672758839263767,0.0913591341887572,0.10944729574566604,0.11717058123819604,0.10720007363613637,0.0030760546105773456,0.004573240940234214,0.005113678714975505,0.002755891470844732,0.002818356657637528,0.01310573492550637,0.01509146916951306,0.031061222181782172,0.07652503739487268,0.06516377373145518,0.024457174665536766,0.03634179121785998,0.03842600903321873,0.02540100549785464,0.02880412117510406,0.029401839052946348
