Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_param,edges,n_trees,n_sites,seed,sim_tool,selection_coefficient,dominance_coefficient,output_frequency,output_after_generations,tsinfer_completed,fastARG_completed,ARGweaver_completed,RentPlus_completed,RentPlus_cputime,RentPlus_memory,RentPlus_0_wRFunrooted,RentPlus_0_RFrooted,RentPlus_0_SPRunrooted,RentPlus_0_pathunrooted,RentPlus_0_wRFrooted,RentPlus_0_RFunrooted,RentPlus_0_KCrooted,fastARG_edges,fastARG_0_SPRunrooted,fastARG_cputime,fastARG_0_KCrooted,fastARG_0_pathunrooted,fastARG_0_wRFunrooted,fastARG_memory,fastARG_0_wRFrooted,fastARG_0_RFrooted,fastARG_ts_filesize,fastARG_0_RFunrooted,tsinfer_max_polytomy,tsinfer_2_RFunrooted,tsinfer_0_KCrooted,tsinfer_0_RFunrooted,tsinfer_0_SPRunrooted,tsinfer_edges,tsinfer_ts_filesize,tsinfer_2_pathunrooted,tsinfer_0_wRFrooted,tsinfer_cputime,tsinfer_2_wRFrooted,tsinfer_2_RFrooted,tsinfer_0_pathunrooted,tsinfer_2_KCrooted,tsinfer_2_wRFunrooted,tsinfer_memory,tsinfer_var_polytomy,tsinfer_mean_polytomy,tsinfer_2_SPRunrooted,tsinfer_0_RFrooted,tsinfer_0_wRFunrooted,ARGweaver_0_wRFrooted,ARGweaver_0_RFrooted,ARGweaver_0_KCrooted,ARGweaver_edges,ARGweaver_0_wRFunrooted,ARGweaver_ts_filesize,ARGweaver_0_SPRunrooted,ARGweaver_cputime,ARGweaver_0_RFunrooted,ARGweaver_iterations,ARGweaver_memory,ARGweaver_0_pathunrooted
10,0,15,5000,100000,1e-08,4.999999999999999e-09,0,60,10,8,808716224,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,15,5000,100000,1e-08,4.999999999999999e-09,EmpiricalErrorPlatinum1000G,60,10,8,808716224,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,15,5000,100000,1e-08,2.5718433618052004e-08,0,155,43,138,1137898847,ftprime,0.1,0.5,0.2,0,False,False,False,True,2.4499999999999997,107966464.0,,8.35141351413514,2.554860548605486,11.344899065170354,,6.808608086080861,10.92420950768314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,155,43,138,1137898847,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,15,5000,100000,1e-08,2.5718433618052004e-08,0,91,22,87,1137898847,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,91,22,87,1137898847,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,15,5000,100000,1e-08,2.5718433618052004e-08,0,118,32,113,1137898847,ftprime,0.1,0.5,0.8,0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,11.0,15.335802098339016,15.095701022520968,9.499622558401507,,64.0,13652.0,21.471356430978688,43621.24743815398,1.02,43621.24743815397,17.053654247270135,31.486434976953323,15.096249032989146,43618.973938779214,58650624.0,8.862222222222222,4.266666666666667,3.921419101277145,11.217474707332629,43618.97393877922,,,,,,,,,,,,
17,0,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,118,32,113,1137898847,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,15,5000,100000,1e-08,2.5718433618052004e-08,0,49,9,16,1137898847,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,49,9,16,1137898847,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,15,5000,100000,1e-08,2.5718433618052004e-08,0,42,6,20,1137898847,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,42,6,20,1137898847,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,15,5000,100000,1e-08,2.5718433618052004e-08,0,76,15,31,1137898847,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,15,5000,100000,1e-08,2.5718433618052004e-08,EmpiricalErrorPlatinum1000G,76,15,31,1137898847,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,15,5000,100000,1e-08,1.3228756555322952e-07,0,115,31,546,716355064,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,15,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,115,31,546,716355064,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,15,5000,100000,1e-08,1.3228756555322952e-07,0,81,23,397,716355064,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,15,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,81,23,397,716355064,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,15,5000,100000,1e-08,1.3228756555322952e-07,0,73,21,404,716355064,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,15,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,73,21,404,716355064,ftprime,0.1,0.5,0.8,0,False,True,False,False,,,,,,,,,,71.0,4.778216886603623,0.0,24.774256512742788,26.601238653584453,29427.562755227143,2039808.0,29431.161777640315,19.420887401335968,23820.0,18.024642192802663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,15,5000,100000,1e-08,1.3228756555322952e-07,0,30,2,41,716355064,ftprime,0.1,0.5,1.0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,15,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,30,2,41,716355064,ftprime,0.1,0.5,1.0,0,False,False,False,True,1.6600000000000001,81342464.0,,15.848032145525952,3.455611388716136,18.95857897209177,,12.368437349577993,22.28986806986911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,15,5000,100000,1e-08,1.3228756555322952e-07,0,48,7,76,716355064,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,15,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,48,7,76,716355064,ftprime,0.1,0.5,1.0,200,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,15,5000,100000,1e-08,1.3228756555322952e-07,0,101,20,187,716355064,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,15,5000,100000,1e-08,1.3228756555322952e-07,EmpiricalErrorPlatinum1000G,101,20,187,716355064,ftprime,0.1,0.5,1.0,1000,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,15,5000,100000,1e-08,6.804457946348874e-07,0,247,66,4021,309401769,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,15,5000,100000,1e-08,6.804457946348874e-07,EmpiricalErrorPlatinum1000G,247,66,4021,309401769,ftprime,0.1,0.5,0.2,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,15,5000,100000,1e-08,6.804457946348874e-07,0,151,45,2732,309401769,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,15,5000,100000,1e-08,6.804457946348874e-07,EmpiricalErrorPlatinum1000G,151,45,2732,309401769,ftprime,0.1,0.5,0.5,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,15,5000,100000,1e-08,6.804457946348874e-07,0,144,42,2745,309401769,ftprime,0.1,0.5,0.8,0,True,False,False,False,,,,,,,,,,,,,,,,,,,,,17.0,2.412179536082649,1.2672638963631515,1.130287145840449,,96.0,120212.0,7.686912153360722,39892.34803781758,1.14,39892.34803781758,2.4669612453810563,5.08841655247857,3.385493042079041,39892.25372157317,61022208.0,14.597633136094675,3.6923076923076934,,1.1850688551388564,39892.25372157319,,,,,,,,,,,,
41,0,15,5000,100000,1e-08,6.804457946348874e-07,EmpiricalErrorPlatinum1000G,144,42,2745,309401769,ftprime,0.1,0.5,0.8,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
