,dataset,population,region,sample,sample_edges,strand
89,sgdp,Piapoco,America,S_Piapoco-1,723,1
90,sgdp,Piapoco,America,S_Piapoco-2,700,0
91,sgdp,Piapoco,America,S_Piapoco-2,729,1
92,sgdp,Pima,America,S_Pima-1,679,0
93,sgdp,Pima,America,S_Pima-1,628,1
94,sgdp,Pima,America,S_Pima-2,636,0
95,sgdp,Pima,America,S_Pima-2,661,1
96,sgdp,Mayan,America,S_Mayan-1,751,0
97,sgdp,Mayan,America,S_Mayan-1,743,1
98,sgdp,Mayan,America,S_Mayan-2,838,0
99,sgdp,Mayan,America,S_Mayan-2,807,1
100,sgdp,Zapotec,America,S_Zapotec-1,702,0
101,sgdp,Zapotec,America,S_Zapotec-1,747,1
102,sgdp,Mixe,America,S_Mixe-2,649,0
103,sgdp,Mixe,America,S_Mixe-2,627,1
104,sgdp,Mixe,America,S_Mixe-3,714,0
105,sgdp,Mixe,America,S_Mixe-3,706,1
106,sgdp,Mixtec,America,S_Mixtec-1,783,0
107,sgdp,Mixtec,America,S_Mixtec-1,774,1
108,sgdp,Mixtec,America,S_Mixtec-2,866,0
109,sgdp,Mixtec,America,S_Mixtec-2,849,1
110,sgdp,Zapotec,America,S_Zapotec-2,706,0
111,sgdp,Zapotec,America,S_Zapotec-2,735,1
112,sgdp,Quechua,America,S_Quechua-3,747,0
113,sgdp,Quechua,America,S_Quechua-3,721,1
114,sgdp,Quechua,America,S_Quechua-2,758,0
115,sgdp,Quechua,America,S_Quechua-2,772,1
116,sgdp,Quechua,America,S_Quechua-1,711,0
117,sgdp,Quechua,America,S_Quechua-1,746,1
118,sgdp,Mongola,CentralAsiaSiberia,S_Mongola-1,988,0
119,sgdp,Mongola,CentralAsiaSiberia,S_Mongola-1,964,1
120,sgdp,Mongola,CentralAsiaSiberia,S_Mongola-2,972,0
121,sgdp,Mongola,CentralAsiaSiberia,S_Mongola-2,909,1
122,sgdp,Tubalar,CentralAsiaSiberia,S_Tubalar-2,849,0
123,sgdp,Tubalar,CentralAsiaSiberia,S_Tubalar-2,865,1
124,sgdp,Yakut,CentralAsiaSiberia,S_Yakut-1,829,0
125,sgdp,Yakut,CentralAsiaSiberia,S_Yakut-1,825,1
126,sgdp,Altaian,CentralAsiaSiberia,S_Altaian-1,832,0
127,sgdp,Altaian,CentralAsiaSiberia,S_Altaian-1,881,1
128,sgdp,Tubalar,CentralAsiaSiberia,S_Tubalar-1,926,0
129,sgdp,Tubalar,CentralAsiaSiberia,S_Tubalar-1,835,1
130,sgdp,Ulchi,CentralAsiaSiberia,S_Ulchi-2,849,0
131,sgdp,Ulchi,CentralAsiaSiberia,S_Ulchi-2,824,1
132,sgdp,Ulchi,CentralAsiaSiberia,S_Ulchi-1,864,0
133,sgdp,Ulchi,CentralAsiaSiberia,S_Ulchi-1,843,1
134,sgdp,Aleut,CentralAsiaSiberia,S_Aleut-1,850,0
135,sgdp,Aleut,CentralAsiaSiberia,S_Aleut-1,792,1
136,sgdp,Eskimo_Sireniki,CentralAsiaSiberia,S_Eskimo_Sireniki-1,681,0
137,sgdp,Eskimo_Sireniki,CentralAsiaSiberia,S_Eskimo_Sireniki-1,647,1
138,sgdp,Even,CentralAsiaSiberia,S_Even-3,724,0
139,sgdp,Even,CentralAsiaSiberia,S_Even-3,743,1
140,sgdp,Even,CentralAsiaSiberia,S_Even-2,808,0
141,sgdp,Even,CentralAsiaSiberia,S_Even-2,786,1
142,sgdp,Yakut,CentralAsiaSiberia,S_Yakut-2,806,0
143,sgdp,Yakut,CentralAsiaSiberia,S_Yakut-2,804,1
144,sgdp,Eskimo_Chaplin,CentralAsiaSiberia,S_Eskimo_Chaplin-1,689,0
145,sgdp,Eskimo_Chaplin,CentralAsiaSiberia,S_Eskimo_Chaplin-1,725,1
146,sgdp,Tlingit,CentralAsiaSiberia,S_Tlingit-2,745,0
147,sgdp,Tlingit,CentralAsiaSiberia,S_Tlingit-2,774,1
148,sgdp,Tlingit,CentralAsiaSiberia,S_Tlingit-1,851,0
149,sgdp,Tlingit,CentralAsiaSiberia,S_Tlingit-1,787,1
150,sgdp,Mansi,CentralAsiaSiberia,S_Mansi-1,842,0
151,sgdp,Mansi,CentralAsiaSiberia,S_Mansi-1,857,1
152,sgdp,Aleut,CentralAsiaSiberia,S_Aleut-2,869,0
153,sgdp,Aleut,CentralAsiaSiberia,S_Aleut-2,818,1
154,sgdp,Even,CentralAsiaSiberia,S_Even-1,693,0
