,dataset,population,region,sample,sample_edges,strand
435,sgdp,Icelandic,WestEurasia,S_Icelandic-2,912,1
436,sgdp,Iranian,WestEurasia,S_Iranian-1,1011,0
437,sgdp,Iranian,WestEurasia,S_Iranian-1,1080,1
438,sgdp,Iranian,WestEurasia,S_Iranian-2,990,0
439,sgdp,Iranian,WestEurasia,S_Iranian-2,987,1
440,sgdp,Iraqi_Jew,WestEurasia,S_Iraqi_Jew-2,1035,0
441,sgdp,Iraqi_Jew,WestEurasia,S_Iraqi_Jew-2,1010,1
442,sgdp,Iraqi_Jew,WestEurasia,S_Iraqi_Jew-1,1058,0
443,sgdp,Iraqi_Jew,WestEurasia,S_Iraqi_Jew-1,1093,1
444,sgdp,Samaritan,WestEurasia,S_Samaritan-1,943,0
445,sgdp,Samaritan,WestEurasia,S_Samaritan-1,870,1
446,sgdp,Druze,WestEurasia,S_Druze-2,886,0
447,sgdp,Druze,WestEurasia,S_Druze-2,964,1
448,sgdp,Druze,WestEurasia,S_Druze-1,1014,0
449,sgdp,Druze,WestEurasia,S_Druze-1,981,1
450,sgdp,Palestinian,WestEurasia,S_Palestinian-2,983,0
451,sgdp,Palestinian,WestEurasia,S_Palestinian-2,979,1
452,sgdp,Palestinian,WestEurasia,S_Palestinian-3,1031,0
453,sgdp,Palestinian,WestEurasia,S_Palestinian-3,904,1
454,sgdp,Palestinian,WestEurasia,S_Palestinian-1,1179,0
455,sgdp,Palestinian,WestEurasia,S_Palestinian-1,1239,1
456,sgdp,BedouinB,WestEurasia,S_BedouinB-1,1043,0
457,sgdp,BedouinB,WestEurasia,S_BedouinB-1,1047,1
458,sgdp,BedouinB,WestEurasia,S_BedouinB-2,1088,0
459,sgdp,BedouinB,WestEurasia,S_BedouinB-2,1035,1
460,sgdp,Bergamo,WestEurasia,S_Bergamo-1,878,0
461,sgdp,Bergamo,WestEurasia,S_Bergamo-1,854,1
462,sgdp,Bergamo,WestEurasia,S_Bergamo-2,950,0
463,sgdp,Bergamo,WestEurasia,S_Bergamo-2,945,1
464,sgdp,Sardinian,WestEurasia,S_Sardinian-1,953,0
465,sgdp,Sardinian,WestEurasia,S_Sardinian-1,873,1
466,sgdp,Sardinian,WestEurasia,S_Sardinian-2,808,0
467,sgdp,Sardinian,WestEurasia,S_Sardinian-2,867,1
468,sgdp,Tuscan,WestEurasia,S_Tuscan-2,931,0
469,sgdp,Tuscan,WestEurasia,S_Tuscan-2,914,1
470,sgdp,Tuscan,WestEurasia,S_Tuscan-1,1023,0
471,sgdp,Tuscan,WestEurasia,S_Tuscan-1,989,1
472,sgdp,Jordanian,WestEurasia,S_Jordanian-3,1108,0
473,sgdp,Jordanian,WestEurasia,S_Jordanian-3,1034,1
474,sgdp,Jordanian,WestEurasia,S_Jordanian-2,1085,0
475,sgdp,Jordanian,WestEurasia,S_Jordanian-2,1108,1
476,sgdp,Jordanian,WestEurasia,S_Jordanian-1,909,0
477,sgdp,Jordanian,WestEurasia,S_Jordanian-1,948,1
478,sgdp,Kyrgyz,CentralAsiaSiberia,S_Kyrgyz-2,876,0
479,sgdp,Kyrgyz,CentralAsiaSiberia,S_Kyrgyz-2,907,1
480,sgdp,Kyrgyz,CentralAsiaSiberia,S_Kyrgyz-1,930,0
481,sgdp,Kyrgyz,CentralAsiaSiberia,S_Kyrgyz-1,915,1
482,sgdp,Norwegian,WestEurasia,S_Norwegian-1,849,0
483,sgdp,Norwegian,WestEurasia,S_Norwegian-1,799,1
484,sgdp,Orcadian,WestEurasia,S_Orcadian-1,862,0
485,sgdp,Orcadian,WestEurasia,S_Orcadian-1,898,1
486,sgdp,Orcadian,WestEurasia,S_Orcadian-2,971,0
487,sgdp,Orcadian,WestEurasia,S_Orcadian-2,904,1
488,sgdp,Polish,WestEurasia,S_Polish-1,847,0
489,sgdp,Polish,WestEurasia,S_Polish-1,880,1
490,sgdp,Russian,WestEurasia,S_Russian-1,930,0
491,sgdp,Russian,WestEurasia,S_Russian-1,892,1
492,sgdp,Russian,WestEurasia,S_Russian-2,843,0
493,sgdp,Russian,WestEurasia,S_Russian-2,851,1
494,sgdp,Abkhasian,WestEurasia,S_Abkhasian-2,957,0
495,sgdp,Abkhasian,WestEurasia,S_Abkhasian-2,976,1
496,sgdp,Chechen,WestEurasia,S_Chechen-1,985,0
497,sgdp,Chechen,WestEurasia,S_Chechen-1,981,1
498,sgdp,Lezgin,WestEurasia,S_Lezgin-2,974,0
499,sgdp,Lezgin,WestEurasia,S_Lezgin-2,933,1
500,sgdp,Lezgin,WestEurasia,S_Lezgin-1,896,0
501,sgdp,Lezgin,WestEurasia,S_Lezgin-1,931,1
502,sgdp,North_Ossetian,WestEurasia,S_North_Ossetian-1,873,0
503,sgdp,North_Ossetian,WestEurasia,S_North_Ossetian-1,897,1
504,sgdp,North_Ossetian,WestEurasia,S_North_Ossetian-2,1007,0
505,sgdp,North_Ossetian,WestEurasia,S_North_Ossetian-2,898,1
506,sgdp,Adygei,WestEurasia,S_Adygei-1,912,0
507,sgdp,Adygei,WestEurasia,S_Adygei-1,973,1
508,sgdp,Adygei,WestEurasia,S_Adygei-2,945,0
509,sgdp,Adygei,WestEurasia,S_Adygei-2,946,1
510,sgdp,Spanish,WestEurasia,S_Spanish-1,977,0
511,sgdp,Spanish,WestEurasia,S_Spanish-1,949,1
512,sgdp,Spanish,WestEurasia,S_Spanish-2,866,0
513,sgdp,Spanish,WestEurasia,S_Spanish-2,869,1
514,sgdp,Tajik,WestEurasia,S_Tajik-1,795,0
515,sgdp,Tajik,WestEurasia,S_Tajik-1,692,1
516,sgdp,Tajik,WestEurasia,S_Tajik-2,915,0
517,sgdp,Tajik,WestEurasia,S_Tajik-2,944,1
518,sgdp,Turkish,WestEurasia,S_Turkish-2,953,0
519,sgdp,Turkish,WestEurasia,S_Turkish-2,991,1
520,sgdp,Turkish,WestEurasia,S_Turkish-1,1027,0
521,sgdp,Turkish,WestEurasia,S_Turkish-1,985,1
522,sgdp,Yemenite_Jew,WestEurasia,S_Yemenite_Jew-2,1154,0
523,sgdp,Yemenite_Jew,WestEurasia,S_Yemenite_Jew-2,1155,1
524,sgdp,Yemenite_Jew,WestEurasia,S_Yemenite_Jew-1,1121,0
525,sgdp,Yemenite_Jew,WestEurasia,S_Yemenite_Jew-1,1120,1
526,sgdp,Crete,WestEurasia,B_Crete-2,1022,0
527,sgdp,Crete,WestEurasia,B_Crete-2,973,1
528,sgdp,Crete,WestEurasia,B_Crete-1,1061,0
529,sgdp,Crete,WestEurasia,B_Crete-1,1050,1
530,sgdp,Dai,EastAsia,B_Dai-4,1094,0
531,sgdp,Dai,EastAsia,B_Dai-4,1126,1
532,sgdp,French,WestEurasia,B_French-3,962,0
533,sgdp,French,WestEurasia,B_French-3,965,1
534,sgdp,Han,EastAsia,B_Han-3,1079,0
535,sgdp,Han,EastAsia,B_Han-3,1125,1
536,sgdp,Mandenka,Africa,B_Mandenka-3,2258,0
537,sgdp,Mandenka,Africa,B_Mandenka-3,2419,1
538,sgdp,Mbuti,Africa,B_Mbuti-4,2528,0
539,sgdp,Mbuti,Africa,B_Mbuti-4,2537,1
540,sgdp,Papuan,Oceania,B_Papuan-15,793,0
541,sgdp,Papuan,Oceania,B_Papuan-15,750,1
542,sgdp,Ju_hoan_North,Africa,B_Ju_hoan_North-4,2785,0
543,sgdp,Ju_hoan_North,Africa,B_Ju_hoan_North-4,2607,1
544,sgdp,Sardinian,WestEurasia,B_Sardinian-3,953,0
545,sgdp,Sardinian,WestEurasia,B_Sardinian-3,1021,1
546,sgdp,Yoruba,Africa,B_Yoruba-3,1922,0
547,sgdp,Yoruba,Africa,B_Yoruba-3,1918,1
548,sgdp,Karitiana,America,B_Karitiana-3,591,0
549,sgdp,Karitiana,America,B_Karitiana-3,624,1
550,sgdp,Mixe,America,B_Mixe-1,624,0
551,sgdp,Mixe,America,B_Mixe-1,643,1
552,sgdp,Dinka,Africa,B_Dinka-3,2005,0
553,sgdp,Dinka,Africa,B_Dinka-3,2131,1
554,1kg,GBR,EUR,HG00096,614,0
555,1kg,GBR,EUR,HG00096,579,1
556,1kg,GBR,EUR,HG00097,485,0
557,1kg,GBR,EUR,HG00097,500,1
558,1kg,GBR,EUR,HG00099,536,0
559,1kg,GBR,EUR,HG00099,510,1
560,1kg,GBR,EUR,HG00100,519,0
561,1kg,GBR,EUR,HG00100,495,1
562,1kg,GBR,EUR,HG00101,425,0
563,1kg,GBR,EUR,HG00101,495,1
564,1kg,GBR,EUR,HG00102,513,0
565,1kg,GBR,EUR,HG00102,531,1
566,1kg,GBR,EUR,HG00103,479,0
567,1kg,GBR,EUR,HG00103,539,1
568,1kg,GBR,EUR,HG00105,564,0
569,1kg,GBR,EUR,HG00105,559,1
570,1kg,GBR,EUR,HG00106,523,0
571,1kg,GBR,EUR,HG00106,508,1
572,1kg,GBR,EUR,HG00107,468,0
573,1kg,GBR,EUR,HG00107,534,1
574,1kg,GBR,EUR,HG00108,488,0
575,1kg,GBR,EUR,HG00108,439,1
576,1kg,GBR,EUR,HG00109,474,0
577,1kg,GBR,EUR,HG00109,483,1
578,1kg,GBR,EUR,HG00110,543,0
579,1kg,GBR,EUR,HG00110,542,1
580,1kg,GBR,EUR,HG00111,474,0
581,1kg,GBR,EUR,HG00111,507,1
582,1kg,GBR,EUR,HG00112,457,0
583,1kg,GBR,EUR,HG00112,502,1
584,1kg,GBR,EUR,HG00113,504,0
585,1kg,GBR,EUR,HG00113,488,1
586,1kg,GBR,EUR,HG00114,500,0
587,1kg,GBR,EUR,HG00114,468,1
588,1kg,GBR,EUR,HG00115,557,0
589,1kg,GBR,EUR,HG00115,562,1
590,1kg,GBR,EUR,HG00116,563,0
591,1kg,GBR,EUR,HG00116,374,1
592,1kg,GBR,EUR,HG00117,518,0
593,1kg,GBR,EUR,HG00117,457,1
594,1kg,GBR,EUR,HG00118,548,0
595,1kg,GBR,EUR,HG00118,545,1
596,1kg,GBR,EUR,HG00119,558,0
597,1kg,GBR,EUR,HG00119,544,1
598,1kg,GBR,EUR,HG00120,539,0
599,1kg,GBR,EUR,HG00120,393,1
600,1kg,GBR,EUR,HG00121,548,0
601,1kg,GBR,EUR,HG00121,486,1
602,1kg,GBR,EUR,HG00122,502,0
603,1kg,GBR,EUR,HG00122,485,1
604,1kg,GBR,EUR,HG00123,511,0
605,1kg,GBR,EUR,HG00123,490,1
606,1kg,GBR,EUR,HG00125,483,0
607,1kg,GBR,EUR,HG00125,500,1
608,1kg,GBR,EUR,HG00126,518,0
609,1kg,GBR,EUR,HG00126,548,1
610,1kg,GBR,EUR,HG00127,608,0
611,1kg,GBR,EUR,HG00127,572,1
612,1kg,GBR,EUR,HG00128,537,0
613,1kg,GBR,EUR,HG00128,576,1
614,1kg,GBR,EUR,HG00129,581,0
615,1kg,GBR,EUR,HG00129,519,1
616,1kg,GBR,EUR,HG00130,569,0
617,1kg,GBR,EUR,HG00130,537,1
618,1kg,GBR,EUR,HG00131,550,0
619,1kg,GBR,EUR,HG00131,551,1
620,1kg,GBR,EUR,HG00132,562,0
621,1kg,GBR,EUR,HG00132,526,1
622,1kg,GBR,EUR,HG00133,585,0
623,1kg,GBR,EUR,HG00133,569,1
624,1kg,GBR,EUR,HG00136,532,0
625,1kg,GBR,EUR,HG00136,547,1
626,1kg,GBR,EUR,HG00137,541,0
627,1kg,GBR,EUR,HG00137,545,1
628,1kg,GBR,EUR,HG00138,539,0
629,1kg,GBR,EUR,HG00138,517,1
630,1kg,GBR,EUR,HG00139,554,0
631,1kg,GBR,EUR,HG00139,508,1
632,1kg,GBR,EUR,HG00140,540,0
633,1kg,GBR,EUR,HG00140,519,1
634,1kg,GBR,EUR,HG00141,594,0
635,1kg,GBR,EUR,HG00141,597,1
636,1kg,GBR,EUR,HG00142,580,0
637,1kg,GBR,EUR,HG00142,546,1
638,1kg,GBR,EUR,HG00143,530,0
639,1kg,GBR,EUR,HG00143,574,1
640,1kg,GBR,EUR,HG00145,640,0
641,1kg,GBR,EUR,HG00145,600,1
642,1kg,GBR,EUR,HG00146,538,0
643,1kg,GBR,EUR,HG00146,591,1
644,1kg,GBR,EUR,HG00148,621,0
645,1kg,GBR,EUR,HG00148,557,1
646,1kg,GBR,EUR,HG00149,507,0
647,1kg,GBR,EUR,HG00149,509,1
648,1kg,GBR,EUR,HG00150,570,0
649,1kg,GBR,EUR,HG00150,582,1
650,1kg,GBR,EUR,HG00151,521,0
651,1kg,GBR,EUR,HG00151,545,1
652,1kg,GBR,EUR,HG00154,502,0
653,1kg,GBR,EUR,HG00154,574,1
654,1kg,GBR,EUR,HG00155,636,0
655,1kg,GBR,EUR,HG00155,626,1
656,1kg,GBR,EUR,HG00157,540,0
657,1kg,GBR,EUR,HG00157,595,1
658,1kg,GBR,EUR,HG00158,587,0
659,1kg,GBR,EUR,HG00158,609,1
660,1kg,GBR,EUR,HG00159,627,0
661,1kg,GBR,EUR,HG00159,637,1
662,1kg,GBR,EUR,HG00160,502,0
663,1kg,GBR,EUR,HG00160,553,1
664,1kg,FIN,EUR,HG00171,392,0
665,1kg,FIN,EUR,HG00171,412,1
666,1kg,FIN,EUR,HG00173,425,0
667,1kg,FIN,EUR,HG00173,392,1
668,1kg,FIN,EUR,HG00174,429,0
669,1kg,FIN,EUR,HG00174,443,1
670,1kg,FIN,EUR,HG00176,482,0
671,1kg,FIN,EUR,HG00176,442,1
672,1kg,FIN,EUR,HG00177,459,0
673,1kg,FIN,EUR,HG00177,471,1
674,1kg,FIN,EUR,HG00178,405,0
675,1kg,FIN,EUR,HG00178,530,1
676,1kg,FIN,EUR,HG00179,510,0
677,1kg,FIN,EUR,HG00179,466,1
678,1kg,FIN,EUR,HG00180,472,0
679,1kg,FIN,EUR,HG00180,433,1
680,1kg,FIN,EUR,HG00181,651,0
681,1kg,FIN,EUR,HG00181,584,1
682,1kg,FIN,EUR,HG00182,436,0
683,1kg,FIN,EUR,HG00182,405,1
684,1kg,FIN,EUR,HG00183,418,0
685,1kg,FIN,EUR,HG00183,460,1
686,1kg,FIN,EUR,HG00185,418,0
687,1kg,FIN,EUR,HG00185,475,1
688,1kg,FIN,EUR,HG00186,432,0
689,1kg,FIN,EUR,HG00186,390,1
690,1kg,FIN,EUR,HG00187,371,0
691,1kg,FIN,EUR,HG00187,429,1
692,1kg,FIN,EUR,HG00188,390,0
693,1kg,FIN,EUR,HG00188,457,1
694,1kg,FIN,EUR,HG00189,446,0
695,1kg,FIN,EUR,HG00189,461,1
696,1kg,FIN,EUR,HG00190,514,0
697,1kg,FIN,EUR,HG00190,510,1
698,1kg,GBR,EUR,HG00231,492,0
699,1kg,GBR,EUR,HG00231,544,1
700,1kg,GBR,EUR,HG00232,532,0
701,1kg,GBR,EUR,HG00232,565,1
702,1kg,GBR,EUR,HG00233,570,0
703,1kg,GBR,EUR,HG00233,570,1
704,1kg,GBR,EUR,HG00234,539,0
705,1kg,GBR,EUR,HG00234,597,1
706,1kg,GBR,EUR,HG00235,507,0
707,1kg,GBR,EUR,HG00235,521,1
708,1kg,GBR,EUR,HG00236,529,0
709,1kg,GBR,EUR,HG00236,532,1
710,1kg,GBR,EUR,HG00237,494,0
711,1kg,GBR,EUR,HG00237,529,1
712,1kg,GBR,EUR,HG00238,549,0
713,1kg,GBR,EUR,HG00238,531,1
714,1kg,GBR,EUR,HG00239,547,0
715,1kg,GBR,EUR,HG00239,526,1
716,1kg,GBR,EUR,HG00240,519,0
717,1kg,GBR,EUR,HG00240,529,1
718,1kg,GBR,EUR,HG00242,548,0
719,1kg,GBR,EUR,HG00242,529,1
720,1kg,GBR,EUR,HG00243,547,0
721,1kg,GBR,EUR,HG00243,552,1
722,1kg,GBR,EUR,HG00244,557,0
723,1kg,GBR,EUR,HG00244,542,1
724,1kg,GBR,EUR,HG00245,555,0
725,1kg,GBR,EUR,HG00245,554,1
726,1kg,GBR,EUR,HG00246,476,0
727,1kg,GBR,EUR,HG00246,512,1
728,1kg,GBR,EUR,HG00250,548,0
729,1kg,GBR,EUR,HG00250,548,1
730,1kg,GBR,EUR,HG00251,536,0
731,1kg,GBR,EUR,HG00251,556,1
732,1kg,GBR,EUR,HG00252,515,0
733,1kg,GBR,EUR,HG00252,531,1
734,1kg,GBR,EUR,HG00253,555,0
735,1kg,GBR,EUR,HG00253,546,1
736,1kg,GBR,EUR,HG00254,603,0
737,1kg,GBR,EUR,HG00254,588,1
738,1kg,GBR,EUR,HG00255,565,0
739,1kg,GBR,EUR,HG00255,480,1
740,1kg,GBR,EUR,HG00256,544,0
741,1kg,GBR,EUR,HG00256,556,1
742,1kg,GBR,EUR,HG00257,542,0
743,1kg,GBR,EUR,HG00257,515,1
744,1kg,GBR,EUR,HG00258,555,0
745,1kg,GBR,EUR,HG00258,532,1
746,1kg,GBR,EUR,HG00259,560,0
747,1kg,GBR,EUR,HG00259,473,1
748,1kg,GBR,EUR,HG00260,547,0
749,1kg,GBR,EUR,HG00260,487,1
750,1kg,GBR,EUR,HG00261,543,0
751,1kg,GBR,EUR,HG00261,511,1
752,1kg,GBR,EUR,HG00262,542,0
753,1kg,GBR,EUR,HG00262,576,1
754,1kg,GBR,EUR,HG00263,524,0
755,1kg,GBR,EUR,HG00263,553,1
756,1kg,GBR,EUR,HG00264,595,0
757,1kg,GBR,EUR,HG00264,615,1
758,1kg,GBR,EUR,HG00265,553,0
759,1kg,GBR,EUR,HG00265,510,1
760,1kg,FIN,EUR,HG00266,468,0
761,1kg,FIN,EUR,HG00266,508,1
762,1kg,FIN,EUR,HG00267,417,0
763,1kg,FIN,EUR,HG00267,425,1
764,1kg,FIN,EUR,HG00268,451,0
765,1kg,FIN,EUR,HG00268,454,1
766,1kg,FIN,EUR,HG00269,381,0
767,1kg,FIN,EUR,HG00269,444,1
768,1kg,FIN,EUR,HG00271,400,0
769,1kg,FIN,EUR,HG00271,395,1
770,1kg,FIN,EUR,HG00272,393,0
771,1kg,FIN,EUR,HG00272,451,1
772,1kg,FIN,EUR,HG00273,475,0
773,1kg,FIN,EUR,HG00273,449,1
774,1kg,FIN,EUR,HG00274,378,0
775,1kg,FIN,EUR,HG00274,409,1
776,1kg,FIN,EUR,HG00275,490,0
777,1kg,FIN,EUR,HG00275,457,1
778,1kg,FIN,EUR,HG00276,451,0
779,1kg,FIN,EUR,HG00276,457,1
780,1kg,FIN,EUR,HG00277,464,0
781,1kg,FIN,EUR,HG00277,466,1
782,1kg,FIN,EUR,HG00278,452,0
783,1kg,FIN,EUR,HG00278,413,1
784,1kg,FIN,EUR,HG00280,413,0
785,1kg,FIN,EUR,HG00280,335,1
786,1kg,FIN,EUR,HG00281,419,0
787,1kg,FIN,EUR,HG00281,378,1
788,1kg,FIN,EUR,HG00282,446,0
789,1kg,FIN,EUR,HG00282,434,1
790,1kg,FIN,EUR,HG00284,367,0
791,1kg,FIN,EUR,HG00284,399,1
792,1kg,FIN,EUR,HG00285,351,0
793,1kg,FIN,EUR,HG00285,373,1
794,1kg,FIN,EUR,HG00288,441,0
795,1kg,FIN,EUR,HG00288,519,1
796,1kg,FIN,EUR,HG00290,484,0
797,1kg,FIN,EUR,HG00290,434,1
798,1kg,FIN,EUR,HG00304,509,0
799,1kg,FIN,EUR,HG00304,511,1
800,1kg,FIN,EUR,HG00306,452,0
801,1kg,FIN,EUR,HG00306,475,1
802,1kg,FIN,EUR,HG00308,383,0
803,1kg,FIN,EUR,HG00308,483,1
804,1kg,FIN,EUR,HG00309,454,0
805,1kg,FIN,EUR,HG00309,493,1
806,1kg,FIN,EUR,HG00310,386,0
807,1kg,FIN,EUR,HG00310,378,1
808,1kg,FIN,EUR,HG00311,507,0
809,1kg,FIN,EUR,HG00311,497,1
810,1kg,FIN,EUR,HG00313,412,0
811,1kg,FIN,EUR,HG00313,443,1
812,1kg,FIN,EUR,HG00315,492,0
813,1kg,FIN,EUR,HG00315,420,1
814,1kg,FIN,EUR,HG00318,446,0
815,1kg,FIN,EUR,HG00318,474,1
816,1kg,FIN,EUR,HG00319,395,0
817,1kg,FIN,EUR,HG00319,414,1
818,1kg,FIN,EUR,HG00320,471,0
819,1kg,FIN,EUR,HG00320,471,1
820,1kg,FIN,EUR,HG00321,381,0
821,1kg,FIN,EUR,HG00321,394,1
822,1kg,FIN,EUR,HG00323,372,0
823,1kg,FIN,EUR,HG00323,403,1
824,1kg,FIN,EUR,HG00324,372,0
825,1kg,FIN,EUR,HG00324,352,1
826,1kg,FIN,EUR,HG00325,434,0
827,1kg,FIN,EUR,HG00325,445,1
828,1kg,FIN,EUR,HG00326,454,0
829,1kg,FIN,EUR,HG00326,483,1
830,1kg,FIN,EUR,HG00327,384,0
831,1kg,FIN,EUR,HG00327,397,1
832,1kg,FIN,EUR,HG00328,437,0
833,1kg,FIN,EUR,HG00328,368,1
834,1kg,FIN,EUR,HG00329,435,0
835,1kg,FIN,EUR,HG00329,427,1
836,1kg,FIN,EUR,HG00330,435,0
837,1kg,FIN,EUR,HG00330,386,1
838,1kg,FIN,EUR,HG00331,400,0
839,1kg,FIN,EUR,HG00331,404,1
840,1kg,FIN,EUR,HG00332,431,0
841,1kg,FIN,EUR,HG00332,438,1
842,1kg,FIN,EUR,HG00334,460,0
843,1kg,FIN,EUR,HG00334,465,1
844,1kg,FIN,EUR,HG00335,381,0
845,1kg,FIN,EUR,HG00335,411,1
846,1kg,FIN,EUR,HG00336,461,0
847,1kg,FIN,EUR,HG00336,408,1
848,1kg,FIN,EUR,HG00337,391,0
849,1kg,FIN,EUR,HG00337,446,1
850,1kg,FIN,EUR,HG00338,472,0
851,1kg,FIN,EUR,HG00338,444,1
852,1kg,FIN,EUR,HG00339,431,0
853,1kg,FIN,EUR,HG00339,457,1
854,1kg,FIN,EUR,HG00341,494,0
855,1kg,FIN,EUR,HG00341,537,1
856,1kg,FIN,EUR,HG00342,481,0
857,1kg,FIN,EUR,HG00342,411,1
858,1kg,FIN,EUR,HG00343,386,0
859,1kg,FIN,EUR,HG00343,336,1
860,1kg,FIN,EUR,HG00344,487,0
861,1kg,FIN,EUR,HG00344,512,1
862,1kg,FIN,EUR,HG00345,456,0
863,1kg,FIN,EUR,HG00345,348,1
864,1kg,FIN,EUR,HG00346,410,0
865,1kg,FIN,EUR,HG00346,464,1
866,1kg,FIN,EUR,HG00349,457,0
867,1kg,FIN,EUR,HG00349,424,1
868,1kg,FIN,EUR,HG00350,470,0
869,1kg,FIN,EUR,HG00350,500,1
870,1kg,FIN,EUR,HG00351,465,0
871,1kg,FIN,EUR,HG00351,382,1
872,1kg,FIN,EUR,HG00353,428,0
873,1kg,FIN,EUR,HG00353,421,1
874,1kg,FIN,EUR,HG00355,487,0
875,1kg,FIN,EUR,HG00355,452,1
876,1kg,FIN,EUR,HG00356,390,0
877,1kg,FIN,EUR,HG00356,426,1
878,1kg,FIN,EUR,HG00357,425,0
879,1kg,FIN,EUR,HG00357,399,1
880,1kg,FIN,EUR,HG00358,389,0
881,1kg,FIN,EUR,HG00358,390,1
882,1kg,FIN,EUR,HG00360,488,0
883,1kg,FIN,EUR,HG00360,455,1
884,1kg,FIN,EUR,HG00361,387,0
885,1kg,FIN,EUR,HG00361,425,1
886,1kg,FIN,EUR,HG00362,470,0
887,1kg,FIN,EUR,HG00362,426,1
888,1kg,FIN,EUR,HG00364,408,0
889,1kg,FIN,EUR,HG00364,426,1
890,1kg,FIN,EUR,HG00365,386,0
891,1kg,FIN,EUR,HG00365,401,1
892,1kg,FIN,EUR,HG00366,476,0
893,1kg,FIN,EUR,HG00366,419,1
894,1kg,FIN,EUR,HG00367,480,0
895,1kg,FIN,EUR,HG00367,472,1
896,1kg,FIN,EUR,HG00368,388,0
897,1kg,FIN,EUR,HG00368,392,1
898,1kg,FIN,EUR,HG00369,384,0
899,1kg,FIN,EUR,HG00369,360,1
900,1kg,FIN,EUR,HG00371,455,0
901,1kg,FIN,EUR,HG00371,365,1
902,1kg,FIN,EUR,HG00372,541,0
903,1kg,FIN,EUR,HG00372,476,1
904,1kg,FIN,EUR,HG00373,408,0
905,1kg,FIN,EUR,HG00373,447,1
906,1kg,FIN,EUR,HG00375,531,0
907,1kg,FIN,EUR,HG00375,393,1
908,1kg,FIN,EUR,HG00376,432,0
909,1kg,FIN,EUR,HG00376,393,1
910,1kg,FIN,EUR,HG00378,392,0
911,1kg,FIN,EUR,HG00378,441,1
912,1kg,FIN,EUR,HG00379,462,0
913,1kg,FIN,EUR,HG00379,409,1
914,1kg,FIN,EUR,HG00380,496,0
915,1kg,FIN,EUR,HG00380,507,1
916,1kg,FIN,EUR,HG00381,418,0
917,1kg,FIN,EUR,HG00381,397,1
918,1kg,FIN,EUR,HG00382,376,0
919,1kg,FIN,EUR,HG00382,324,1
920,1kg,FIN,EUR,HG00383,313,0
921,1kg,FIN,EUR,HG00383,324,1
922,1kg,FIN,EUR,HG00384,472,0
923,1kg,FIN,EUR,HG00384,412,1
924,1kg,CHS,EAS,HG00403,632,0
925,1kg,CHS,EAS,HG00403,663,1
926,1kg,CHS,EAS,HG00404,659,0
927,1kg,CHS,EAS,HG00404,652,1
928,1kg,CHS,EAS,HG00406,638,0
929,1kg,CHS,EAS,HG00406,714,1
930,1kg,CHS,EAS,HG00407,673,0
931,1kg,CHS,EAS,HG00407,669,1
932,1kg,CHS,EAS,HG00409,777,0
933,1kg,CHS,EAS,HG00409,731,1
934,1kg,CHS,EAS,HG00410,649,0
935,1kg,CHS,EAS,HG00410,772,1
936,1kg,CHS,EAS,HG00419,718,0
937,1kg,CHS,EAS,HG00419,684,1
938,1kg,CHS,EAS,HG00421,737,0
939,1kg,CHS,EAS,HG00421,662,1
940,1kg,CHS,EAS,HG00422,700,0
941,1kg,CHS,EAS,HG00422,684,1
942,1kg,CHS,EAS,HG00428,713,0
943,1kg,CHS,EAS,HG00428,679,1
944,1kg,CHS,EAS,HG00436,656,0
945,1kg,CHS,EAS,HG00436,651,1
946,1kg,CHS,EAS,HG00437,649,0
947,1kg,CHS,EAS,HG00437,719,1
948,1kg,CHS,EAS,HG00442,685,0
949,1kg,CHS,EAS,HG00442,697,1
950,1kg,CHS,EAS,HG00443,657,0
951,1kg,CHS,EAS,HG00443,659,1
952,1kg,CHS,EAS,HG00445,740,0
953,1kg,CHS,EAS,HG00445,710,1
954,1kg,CHS,EAS,HG00446,706,0
955,1kg,CHS,EAS,HG00446,762,1
956,1kg,CHS,EAS,HG00448,668,0
957,1kg,CHS,EAS,HG00448,602,1
958,1kg,CHS,EAS,HG00449,689,0
959,1kg,CHS,EAS,HG00449,679,1
960,1kg,CHS,EAS,HG00451,701,0
961,1kg,CHS,EAS,HG00451,747,1
962,1kg,CHS,EAS,HG00452,683,0
963,1kg,CHS,EAS,HG00452,670,1
964,1kg,CHS,EAS,HG00457,698,0
965,1kg,CHS,EAS,HG00457,683,1
966,1kg,CHS,EAS,HG00458,717,0
967,1kg,CHS,EAS,HG00458,781,1
968,1kg,CHS,EAS,HG00463,694,0
969,1kg,CHS,EAS,HG00463,645,1
970,1kg,CHS,EAS,HG00464,676,0
971,1kg,CHS,EAS,HG00464,603,1
972,1kg,CHS,EAS,HG00472,735,0
973,1kg,CHS,EAS,HG00472,682,1
974,1kg,CHS,EAS,HG00473,699,0
975,1kg,CHS,EAS,HG00473,696,1
976,1kg,CHS,EAS,HG00475,343,0
977,1kg,CHS,EAS,HG00475,485,1
978,1kg,CHS,EAS,HG00476,660,0
979,1kg,CHS,EAS,HG00476,760,1
980,1kg,CHS,EAS,HG00478,691,0
981,1kg,CHS,EAS,HG00478,708,1
982,1kg,CHS,EAS,HG00479,686,0
983,1kg,CHS,EAS,HG00479,695,1
984,1kg,CHS,EAS,HG00500,641,0
985,1kg,CHS,EAS,HG00500,694,1
986,1kg,CHS,EAS,HG00513,653,0
