,Ne,length,sample_size,recombination_rate,mutation_rate,tool,ts_relative_filesize_mean,ts_relative_filesize_se
87,5000,55000000,50000,5e-09,1e-08,tsinfer,0.9956167919641903,0.0011617068436819353
88,5000,55000000,50000,1e-08,1e-08,tsinfer,0.8754209646816875,0.0006474815067148577
89,5000,55000000,50000,2e-08,1e-08,tsinfer,0.7046376565694599,0.002108067246596595
90,5000,60000000,50000,5e-09,1e-08,tsinfer,1.0067993457554436,
91,5000,60000000,50000,1e-08,1e-08,tsinfer,0.8808646248266861,0.00033942261459284453
92,5000,60000000,50000,2e-08,1e-08,tsinfer,0.7058345701107961,0.0008063384288755345
93,5000,65000000,50000,5e-09,1e-08,tsinfer,1.0165118021623014,4.9109348660703045e-05
94,5000,65000000,50000,1e-08,1e-08,tsinfer,0.8850146173301381,0.0009288258597587796
95,5000,65000000,50000,2e-08,1e-08,tsinfer,0.7059643922951188,0.00022618877675029123
96,5000,70000000,50000,5e-09,1e-08,tsinfer,1.027555281299227,
97,5000,70000000,50000,1e-08,1e-08,tsinfer,0.8892888200517253,0.0013867102815492372
98,5000,70000000,50000,2e-08,1e-08,tsinfer,0.7085254442281438,0.0008181765269877191
99,5000,75000000,50000,5e-09,1e-08,tsinfer,1.0294018302417565,0.0015324049957090937
100,5000,75000000,50000,1e-08,1e-08,tsinfer,0.8918215254735208,0.0009246131627912771
101,5000,75000000,50000,2e-08,1e-08,tsinfer,0.7091009833272803,0.0006374562714009994
102,5000,80000000,50000,5e-09,1e-08,tsinfer,1.0393823920908674,0.0003153886178517217
103,5000,80000000,50000,1e-08,1e-08,tsinfer,0.8948010105316803,0.0007492347131064231
104,5000,80000000,50000,2e-08,1e-08,tsinfer,0.70973311245107,0.001295017954366262
105,5000,85000000,50000,5e-09,1e-08,tsinfer,1.0467780749939923,0.001123240960066285
106,5000,85000000,50000,1e-08,1e-08,tsinfer,0.898539090162233,
107,5000,85000000,50000,2e-08,1e-08,tsinfer,0.7105787024167846,0.0005877769495774565
108,5000,90000000,50000,5e-09,1e-08,tsinfer,1.052189526793813,0.0004256837299974816
109,5000,90000000,50000,1e-08,1e-08,tsinfer,0.9014268134485118,0.0005991856476400058
110,5000,90000000,50000,2e-08,1e-08,tsinfer,0.7109317480777346,0.0006344987303640948
111,5000,95000000,50000,5e-09,1e-08,tsinfer,1.0556985970974178,0.00045014976305740584
112,5000,95000000,50000,1e-08,1e-08,tsinfer,0.9051967819257143,0.00021584007340028077
113,5000,95000000,50000,2e-08,1e-08,tsinfer,0.712272807327626,0.00018991345845909
114,5000,100000000,50000,5e-09,1e-08,tsinfer,1.0626749404915852,0.00090943287473885
115,5000,100000000,50000,1e-08,1e-08,tsinfer,0.9073517456244944,0.00011142006868092301
116,5000,100000000,50000,2e-08,1e-08,tsinfer,0.713606440868113,
