Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,n_sites,seed,fastARG_completed,ARGweaver_completed,tsinfer_completed,RentPlus_completed,fastARG_edges,fastARG_0_SPRunrooted,fastARG_0_pathunrooted,fastARG_0_RFunrooted,fastARG_cputime,fastARG_0_wRFrooted,fastARG_ts_filesize,fastARG_0_RFrooted,fastARG_0_KCrooted,fastARG_memory,fastARG_0_wRFunrooted,RentPlus_0_wRFrooted,RentPlus_0_KCrooted,RentPlus_0_SPRunrooted,RentPlus_cputime,RentPlus_0_wRFunrooted,RentPlus_memory,RentPlus_0_pathunrooted,RentPlus_0_RFrooted,RentPlus_0_RFunrooted,tsinfer_0_SPRunrooted,tsinfer_0_wRFrooted,tsinfer_2_RFunrooted,tsinfer_var_polytomy,tsinfer_cputime,tsinfer_2_wRFrooted,tsinfer_edges,tsinfer_0_pathunrooted,tsinfer_2_pathunrooted,tsinfer_2_wRFunrooted,tsinfer_0_RFunrooted,tsinfer_0_wRFunrooted,tsinfer_max_polytomy,tsinfer_ts_filesize,tsinfer_mean_polytomy,tsinfer_2_SPRunrooted,tsinfer_2_KCrooted,tsinfer_2_RFrooted,tsinfer_memory,tsinfer_0_RFrooted,tsinfer_0_KCrooted,ARGweaver_0_pathunrooted,ARGweaver_memory,ARGweaver_0_SPRunrooted,ARGweaver_0_wRFunrooted,ARGweaver_0_KCrooted,ARGweaver_cputime,ARGweaver_0_RFrooted,ARGweaver_ts_filesize,ARGweaver_edges,ARGweaver_0_wRFrooted,ARGweaver_0_RFunrooted,ARGweaver_iterations
0,0,15,5000,1000000,1e-08,2.0000000000000003e-10,0.0,1728,547,20,808716224,False,False,True,True,,,,,,,,,,,,,22.72166011692729,4.857232499999999,0.8400000000000001,,61366272.0,26.371528008946967,21.950848,20.067216000000002,,17234.333629993707,20.941234819517764,20.38222222222221,0.72,17234.333629993715,67.0,30.27534130596248,28.777193358616074,17234.333629993715,16.018709873232744,17234.333629993707,21.0,76733.0,4.466666666666667,5.013888329380118,20.92703846295128,22.88829186641285,55689216.0,17.082833736771118,16.750349425447492,,,,,,,,,,,,
1,0,15,5000,1000000,1e-08,2.0000000000000003e-10,0.001,1728,547,20,808716224,False,False,True,True,,,,,,,,,,,,,22.72166011692729,4.857232499999999,0.92,,67379200.0,26.371528008946967,21.950848,20.067216000000002,,17234.333629993707,20.941234819517764,20.38222222222221,0.71,17234.333629993715,67.0,30.27534130596248,28.777193358616074,17234.333629993715,16.018709873232744,17234.333629993707,21.0,76733.0,4.466666666666667,5.013888329380118,20.92703846295128,22.88829186641285,56233984.0,17.082833736771118,16.750349425447492,,,,,,,,,,,,
2,0,15,5000,1000000,1e-08,7.368062997280773e-10,0.0,1936,600,69,1137898847,False,False,True,True,,,,,,,,,,,,,16.396797881380746,4.0146515,1.1700000000000002,,68833280.0,20.83881477475357,17.929901,15.871684,,18146.37057109328,16.430060430012734,44.05497709287798,0.75,18146.37057109328,204.0,24.159238395853947,20.757227992315407,18146.09374734389,13.567408811975362,18146.09374734389,49.0,80829.0,4.163265306122448,4.176067215871074,16.578253813633953,18.408560397287413,56532992.0,14.932236667612422,14.338967700261195,,,,,,,,,,,,
3,0,15,5000,1000000,1e-08,7.368062997280773e-10,0.001,1936,600,69,1137898847,False,False,True,True,,,,,,,,,,,,,16.396797881380746,4.0146515,1.8,,73408512.0,20.83881477475357,17.929901,15.871684,,18146.37057109328,16.430060430012734,44.05497709287798,0.77,18146.37057109328,204.0,24.159238395853947,20.757227992315407,18146.09374734389,13.567408811975362,18146.09374734389,49.0,80829.0,4.163265306122448,4.176067215871074,16.578253813633953,18.408560397287413,56655872.0,14.932236667612422,14.338967700261195,,,,,,,,,,,,
4,0,15,5000,1000000,1e-08,2.714417616594907e-09,0.0,1583,504,200,716355064,False,False,True,True,,,,,,,,,,,,,14.003292455470447,3.4521265,4.0,,142077952.0,16.787767575863345,13.602124,11.742641,,17124.847103170527,14.331642822410707,99.86969529085873,0.8400000000000001,17124.847103170527,374.0,23.2189309950625,18.3463898542082,17124.413071529525,11.424125799065788,17124.413071529525,100.0,84773.0,3.9368421052631577,4.107732847834996,13.263940239379187,16.04342572785391,56590336.0,12.661454187675865,12.876295758345394,,,,,,,,,,,,
5,0,15,5000,1000000,1e-08,2.714417616594907e-09,0.001,1583,504,200,716355064,False,False,True,True,,,,,,,,,,,,,14.076842570970681,3.454069,5.010000000000002,,169201664.0,16.813229757203903,13.647770999999999,11.761038000000001,,17124.857740274085,14.39338722830685,99.86969529085873,0.54,17124.85774027408,374.0,23.172380568252343,18.39082618181181,17124.41264947742,11.414937852565641,17124.41264947742,100.0,84773.0,3.9368421052631577,4.122306642543012,13.368393833112767,16.130166651129716,56807424.0,12.66332539683232,12.885918560055359,,,,,,,,,,,,
6,0,15,5000,1000000,1e-08,1e-08,0.0,1677,535,635,309401769,False,False,True,True,,,,,,,,,,,,,12.234976766840319,2.1668785,8.21,,297263104.0,14.003888625769974,9.080542,7.576052000000001,1.4768877451768556,16215.495796755307,8.040168003818254,184.74348733541188,0.9,16215.495796755313,747.0,14.585194367778563,13.775150720745795,16215.084414833977,7.005186899877571,16215.084414833977,193.0,101969.0,3.7918781725888326,2.2820480864265162,10.80495040762728,9.168716875761495,57311232.0,7.904385016241244,10.271689074681275,,,,,,,,,,,,
7,0,15,5000,1000000,1e-08,1e-08,0.001,1677,535,635,309401769,False,False,True,True,,,,,,,,,,,,,12.178664156464894,2.189965,6.949999999999998,,302796800.0,14.116082455909336,9.225239,7.740405,1.7086107244211557,16215.621795957593,8.18208204720577,210.1667102914932,1.02,16215.621795957593,807.0,14.660436744110902,14.02153261472821,16215.210414036259,7.108620985882032,16215.210414036264,210.0,102929.0,3.9365853658536585,2.338695732956667,10.88842939123026,9.305314169777748,57212928.0,8.011887650818526,10.302650816086727,,,,,,,,,,,,
8,0,15,5000,1000000,1e-08,3.6840314986403866e-08,0.0,1438,452,2145,429519779,False,False,True,True,,,,,,,,,,,,,9.649312788813944,1.660136,16.58,,705175552.0,10.100458329701977,6.45795,5.117482,2.2008341568855165,14715.215354993943,6.906425373764826,157.86960826567577,1.34,14715.215354993943,1101.0,12.551510384404066,12.030674394287542,14714.786436682964,6.413978919361195,14714.786436682958,216.0,135818.0,3.7576791808873717,2.2667566307697062,9.144119893444843,7.747473108957423,59052032.0,7.149428915461294,8.76184069963313,,,,,,,,,,,,
9,0,15,5000,1000000,1e-08,3.6840314986403866e-08,0.001,1438,452,2145,429519779,True,False,True,True,1378.0,2.7434224586836087,14.35082056287726,9.40277362340217,0.06,14020.014094800305,137514.0,11.590179128873453,13.558953297634236,2154496.0,14014.033134030786,,9.336772942212887,1.9394585,13.27,,695934976.0,10.788339563182348,7.104087,5.8915690000000005,2.227087517119508,14714.735479717405,7.526511617738451,208.9414504905814,1.36,14714.7354797174,1260.0,13.40011856160818,12.724622905554636,14714.411562949306,6.7217486276918255,14714.41156294931,260.0,138586.0,3.925233644859813,2.3372943297733224,9.443501633971987,8.37693563610425,58662912.0,7.433067110231702,9.079722978433834,,,,,,,,,,,,
