Unnamed: 0,replicate,sample_size,Ne,length,recombination_rate,mutation_rate,error_rate,edges,n_trees,n_sites,seed,ARGweaver_completed,fastARG_completed,RentPlus_completed,tsinfer_completed,fastARG_SPRunrooted,fastARG_edges,fastARG_wRFrooted,fastARG_cputime,fastARG_RFrooted,fastARG_RFunrooted,fastARG_pathunrooted,fastARG_KCrooted,fastARG_memory,fastARG_ts_filesize,fastARG_wRFunrooted,tsinfer_SPRunrooted,tsinfer_edges,tsinfer_var_polytomy,tsinfer_wRFrooted,tsinfer_cputime,tsinfer_RFrooted,tsinfer_RFunrooted,tsinfer_pathunrooted,tsinfer_KCrooted,tsinfer_memory,tsinfer_ts_filesize,tsinfer_max_polytomy,tsinfer_mean_polytomy,tsinfer_wRFunrooted,RentPlus_SPRunrooted,RentPlus_wRFunrooted,RentPlus_pathunrooted,RentPlus_wRFrooted,RentPlus_cputime,RentPlus_RFrooted,RentPlus_RFunrooted,RentPlus_KCrooted,RentPlus_memory,ARGweaver_SPRunrooted,ARGweaver_edges,ARGweaver_wRFrooted,ARGweaver_cputime,ARGweaver_RFrooted,ARGweaver_RFunrooted,ARGweaver_iterations,ARGweaver_KCrooted,ARGweaver_memory,ARGweaver_ts_filesize,ARGweaver_pathunrooted,ARGweaver_wRFunrooted,completed,fastARG_0_RFunrooted,fastARG_0_SPRunrooted,fastARG_0_wRFunrooted,fastARG_0_RFrooted,fastARG_0_KCrooted,fastARG_0_pathunrooted,fastARG_0_wRFrooted,RentPlus_0_RFunrooted,RentPlus_0_RFrooted,RentPlus_0_pathunrooted,RentPlus_0_SPRunrooted,RentPlus_0_KCrooted,RentPlus_0_wRFrooted,RentPlus_0_wRFunrooted,tsinfer_2_wRFrooted,tsinfer_2_SPRunrooted,tsinfer_0_RFunrooted,tsinfer_0_RFrooted,tsinfer_2_wRFunrooted,tsinfer_2_RFrooted,tsinfer_2_KCrooted,tsinfer_2_pathunrooted,tsinfer_0_pathunrooted,tsinfer_0_wRFrooted,tsinfer_0_KCrooted,tsinfer_0_wRFunrooted,tsinfer_0_SPRunrooted,tsinfer_2_RFunrooted,ARGweaver_0_wRFunrooted,ARGweaver_0_wRFrooted,ARGweaver_0_KCrooted,ARGweaver_0_pathunrooted,ARGweaver_0_RFrooted,ARGweaver_0_SPRunrooted,ARGweaver_0_RFunrooted
0,0,15,5000,100000,1e-08,4.999999999999999e-09,0.0,202,57,29,808716224,True,False,False,True,,,,,,,,,,,,4.305204771541243,63.0,5.18359375,15460.940355884502,0.49,16.83266121737617,15.733408530393152,17.885204692907386,11.908554431962125,54693888.0,69736.0,10.0,3.9375,15460.558757226036,,,,,,,,,,4.05869,189.3,65720.61417929381,2992.4,16.555494000000003,15.201770000000002,"0,20,40,60,80,100,120,140,160,180",12.319078167952142,168615936.0,57360.0,17.909760381527466,64975.37414969652,True,,,,,,,,,,,,,,,15460.940355884502,4.305204771541243,11.857167932669434,12.616696967285225,15460.558757226036,16.83266121737617,11.908554431962123,17.885204692907386,22.033488793504926,15460.940355884502,9.053442468533882,15460.558757226036,,15.733408530393152,64975.37414969653,65720.6141792938,12.319078167952135,17.90976038152747,16.555494,4.05869,15.201770000000002
1,0,15,5000,100000,1e-08,4.999999999999999e-09,0.001,202,57,29,808716224,False,False,True,True,,,,,,,,,,,,4.305204771541243,63.0,5.18359375,15460.940355884502,0.49,16.83266121737617,15.733408530393152,17.885204692907386,11.908554431962125,54996992.0,69736.0,10.0,3.9375,15460.558757226036,,,,,0.95,,,,59342848.0,,,,,,,,,,,,,True,,,,,,,,13.41898,14.69396,17.302976244039094,3.339225,11.15997010728799,,,15460.940355884502,4.305204771541243,11.857167932669434,12.616696967285225,15460.558757226036,16.83266121737617,11.908554431962123,17.885204692907386,22.033488793504926,15460.940355884502,9.053442468533882,15460.558757226036,,15.733408530393152,,,,,,,
2,0,15,5000,100000,1e-08,4.999999999999999e-09,0.01,202,57,29,808716224,False,False,False,True,,,,,,,,,,,,4.2916521372241885,54.0,3.8367346938775504,15463.12223297,0.56,16.855682348616174,15.906474205630445,18.286881285902066,11.780717956513215,54726656.0,69736.0,8.0,3.8571428571428568,15462.739884311533,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,15463.12223297,4.2916521372241885,11.591375444939516,12.350904479555302,15462.739884311533,16.855682348616174,11.780717956513216,18.286881285902066,21.99977373821109,15463.12223297,8.65241783825968,15462.739884311533,,15.906474205630444,,,,,,,
3,0,15,5000,100000,1e-08,1.4898859031336945e-08,0.0,179,47,84,1137898847,False,False,False,True,,,,,,,,,,,,3.1504274883124714,91.0,10.4704,14352.960450739281,0.35,11.80529890192001,10.254873660357068,15.441368670775509,11.001598496113868,55398400.0,69736.0,18.0,3.64,14352.796110379166,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,14352.960450739281,3.1504274883124714,8.317518039474358,9.59125914779456,14352.796110379166,11.80529890192001,11.001598496113868,15.441368670775509,23.729320493191913,14352.960450739281,11.716494019743356,14352.796110379162,,10.254873660357068,,,,,,,
4,0,15,5000,100000,1e-08,1.4898859031336945e-08,0.001,179,47,84,1137898847,False,False,False,True,,,,,,,,,,,,3.182917482831661,110.0,12.280612244897961,14349.978955036353,0.55,13.482736370831866,11.942769524494398,18.85334041583582,13.852471505253154,55005184.0,71784.0,20.0,3.928571428571429,14349.814614676234,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,14349.978955036353,3.182917482831661,9.035436308103176,10.309177416423381,14349.814614676234,13.482736370831864,13.852471505253154,18.85334041583582,26.096047732737354,14349.978955036353,13.044040991318116,14349.814614676234,,11.942769524494398,,,,,,,
5,0,15,5000,100000,1e-08,1.4898859031336945e-08,0.01,179,47,84,1137898847,False,False,False,True,,,,,,,,,,,,3.480951992414414,100.0,14.207100591715975,14353.475042156873,0.5599999999999999,13.211633222572852,11.634263128222306,16.566547808736072,11.620449255743356,54820864.0,71784.0,21.0,3.8461538461538463,14353.337451796753,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,14353.475042156873,3.480951992414414,9.28733430707381,10.587003418094373,14353.337451796751,13.211633222572852,11.620449255743356,16.566547808736072,23.320598328407737,14353.475042156868,12.077433687280084,14353.337451796753,,11.634263128222306,,,,,,,
6,0,15,5000,100000,1e-08,4.439520008713e-08,0.0,170,47,254,716355064,True,True,False,True,,76.0,,0.0,,,,,2084864.0,73832.0,,1.3196733939544911,112.0,10.783053323593865,14164.65105434772,0.5900000000000001,4.240557617518118,3.665766681048392,7.0288139535325636,5.2206397057204565,55558144.0,73832.0,22.0,3.027027027027027,14164.197010246182,,,,,,,,,,,143.8,,2968.9500000000003,,,"0,20,40,60,80,100,120,140,160,180",,197169152.0,55931.6,,,True,4.015799187458609,1.4931088838160294,14068.208650759923,6.577602116343442,11.595678164012512,8.01611911590114,14069.95750350548,,,,,,,,14164.65105434772,1.3196733939544911,3.6859136937847374,4.257180780575367,14164.197010246182,4.240557617518118,5.2206397057204565,7.0288139535325636,7.317612603410847,14164.651054347718,5.1647769121417255,14164.197010246182,1.0292237854714448,3.665766681048392,46195.05035517813,47087.34996956114,6.87642591958428,8.162876333821258,5.10656,1.487818,4.21085
7,0,15,5000,100000,1e-08,4.439520008713e-08,0.001,170,47,254,716355064,False,True,False,True,2.424451520378476,149.0,14040.050359428556,0.0,10.624996296172686,7.585311166136881,12.942115778884766,13.620035800157542,1982464.0,75880.0,14038.312482710791,1.5836563901418692,141.0,12.07179752066116,14164.860619430836,0.63,5.0446761590167855,4.435565869215757,8.19092738281859,5.999850562484032,55406592.0,73832.0,25.0,3.2045454545454546,14164.422672251778,,,,,,,,,,,,,,,,,,,,,,True,7.585311166136882,2.4244515203784758,14038.312482710791,10.624996296172688,13.620035800157542,12.942115778884766,14040.05035942856,,,,,,,,14164.860619430836,1.5836563901418692,4.369309692824295,4.973892881358188,14164.422672251778,5.044676159016784,5.999850562484032,8.19092738281859,8.512173943792142,14164.86061943083,5.789033151304205,14164.422672251778,1.3161420872146614,4.435565869215757,,,,,,,
8,0,15,5000,100000,1e-08,4.439520008713e-08,0.01,170,47,254,716355064,True,False,True,True,,,,,,,,,,,,2.1463839973347265,205.0,17.216528925619837,14163.938810801943,0.6299999999999999,7.7465105942972805,7.072453682287791,11.4420511549843,7.30110776973472,55377920.0,75880.0,31.0,3.727272727272727,14163.484766700407,2.1776650000000006,,11.44067560531172,,5.25,8.114050000000002,6.974220000000001,8.788960090270367,192831488.0,2.116377,181.0,48324.10013200417,3085.43,8.291064000000002,7.351302,"0,20,40,60,80,100,120,140,160,180",8.438039391461887,184078336.0,57564.8,12.871545903712985,47465.08546208783,True,,,,,,,,6.97422,8.11405,11.440675605311718,2.177665,8.788960090270367,,,14163.938810801943,2.1463839973347265,5.821632614424585,6.452518862564211,14163.484766700407,7.7465105942972805,7.30110776973472,11.4420511549843,13.554476904097914,14163.938810801943,6.693846710330828,14163.484766700407,0.8678358130072962,7.072453682287791,47465.085462087845,48324.10013200416,8.438039391461889,12.871545903712985,8.291064,2.116377,7.3513020000000004
9,0,15,5000,100000,1e-08,1.3228756555322952e-07,0.0,186,51,792,309401769,False,False,False,True,,,,,,,,,,,,1.3737418515982291,173.0,18.345318618725525,15018.761812361949,0.43,3.5462384371552016,3.216502625253095,7.213401771842209,4.904110784250639,55771136.0,82220.0,33.0,3.2641509433962264,15018.587872767168,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,15018.761812361949,1.3737418515982291,3.1145470091770915,3.4290811036668085,15018.587872767168,3.5462384371552016,4.904110784250639,7.213401771842209,7.317531481469554,15018.761812361949,4.8778746527506085,15018.587872767168,1.3371364093219025,3.216502625253095,,,,,,,
